cluster_repr	member	best_repr	member_quality	best_repr_quality	quality_diff_vs_mmseqs	member_tier	member_ID	n_bb_pos	n_bb_types	max_potenci_off	max_lacs_off
10129_1_1_1	10129_1_1_1	10129_1_1_1	4000805.0	4000805.0	0.0	strict	10129_1_1_1	115.0	7.0	0.0	0.63
10130_1_1_1	10130_1_1_1	10130_1_1_1	3000732.210330948	3000732.210330948	0.0	moderate	10130_1_1_1	105.0	7.0	2.7896690519	0.74
10138_1_1_1	10138_1_1_1	10138_1_1_1	3000581.0	3000581.0	0.0	moderate	10138_1_1_1	83.0	7.0	0.0	0.53
10139_1_1_1	10139_1_1_1	10139_1_1_1	3000755.0	3000755.0	0.0	moderate	10139_1_1_1	151.0	5.0	0.0	0.44
10141_1_1_1	10141_1_1_1	10141_1_1_1	4000875.0	4000875.0	0.0	strict	10141_1_1_1	125.0	7.0	0.0	0.81
10147_1_1_1	10147_1_1_1	10147_1_1_1	4000840.0	4000840.0	0.0	strict	10147_1_1_1	120.0	7.0	0.0	0.26
10149_1_1_1	10149_1_1_1	10149_1_1_1	4000805.0	4000805.0	0.0	strict	10149_1_1_1	115.0	7.0	0.0	0.18
10149_1_1_1	11143_1_1_1	10149_1_1_1	4000798.0	4000805.0	7.0	strict	11143_1_1_1	114.0	7.0	0.0	2.46
10150_1_1_1	10150_1_1_1	10150_1_1_1	3000382.855873584	3000382.855873584	0.0	moderate	10150_1_1_1	55.0	7.0	2.1441264162	0.39
10161_1_1_1	10161_1_1_1	10161_1_1_1	4000686.0	4000686.0	0.0	strict	10161_1_1_1	98.0	7.0	0.0	1.32
10163_1_1_1	10163_1_1_1	10163_1_1_1	4000665.0	4000665.0	0.0	strict	10163_1_1_1	95.0	7.0	0.0	1.72
10164_1_1_1	10164_1_1_1	10164_1_1_1	4000994.0	4000994.0	0.0	strict	10164_1_1_1	142.0	7.0	0.0	0.7
10165_1_1_1	10165_1_1_1	10165_1_1_1	3001047.4565321477	3001047.4565321477	0.0	moderate	10165_1_1_1	150.0	7.0	2.5434678523	1.31
10193_1_1_1	10193_1_1_1	10193_1_1_1	4000448.0	4000448.0	0.0	strict	10193_1_1_1	64.0	7.0	0.0	0.44
10213_1_1_1	10213_1_1_1	10213_1_1_1	3000600.064536239	3000600.064536239	0.0	moderate	10213_1_1_1	86.0	7.0	1.935463761	0.19
10214_1_1_1	10214_1_1_1	10214_1_1_1	3000382.3747778772	3000382.3747778772	0.0	moderate	10214_1_1_1	55.0	7.0	2.6252221228	0.79
10237_1_1_1	10237_1_1_1	10237_1_1_1	3001159.073293521	3001159.073293521	0.0	moderate	10237_1_1_1	166.0	7.0	2.9267064787	1.0
10242_1_1_1	10242_1_1_1	10242_1_1_1	3000760.250126141	3000760.250126141	0.0	moderate	10242_1_1_1	109.0	7.0	2.749873859	0.94
10248_1_1_1	10248_1_1_1	10248_1_1_1	4000511.0	4000511.0	0.0	strict	10248_1_1_1	73.0	7.0	0.0	0.52
10250_1_1_1	10250_1_1_1	10250_1_1_1	4000987.0	4000987.0	0.0	strict	10250_1_1_1	141.0	7.0	0.0	0.28
10251_1_1_1	10251_1_1_1	10251_1_1_1	4000854.0	4000854.0	0.0	strict	10251_1_1_1	122.0	7.0	0.0	0.44
10253_1_1_1	10312_1_1_1	10312_1_1_1	4000854.0	4000854.0	0.0	strict	10312_1_1_1	122.0	7.0	0.0	1.13
10253_1_1_1	10253_1_1_1	10312_1_1_1	4000819.0	4000854.0	35.0	strict	10253_1_1_1	117.0	7.0	0.0	1.22
10255_1_1_1	10255_1_1_1	10255_1_1_1	3000711.143261777	3000711.143261777	0.0	moderate	10255_1_1_1	102.0	7.0	2.856738223	0.73
10256_1_1_1	10256_1_1_1	10256_1_1_1	4000693.0	4000693.0	0.0	strict	10256_1_1_1	99.0	7.0	0.0	0.58
10260_1_1_1	10260_1_1_1	10260_1_1_1	4000686.0	4000686.0	0.0	strict	10260_1_1_1	98.0	7.0	0.0	2.82
10261_1_1_1	10261_1_1_1	10261_1_1_1	3000459.603205128	3000459.603205128	0.0	moderate	10261_1_1_1	66.0	7.0	2.3967948718	0.65
10262_1_1_1	10262_1_1_1	10262_1_1_1	4000672.0	4000672.0	0.0	strict	10262_1_1_1	96.0	7.0	0.0	1.13
10263_1_1_1	10263_1_1_1	10263_1_1_1	4000721.0	4000721.0	0.0	strict	10263_1_1_1	103.0	7.0	0.0	0.74
10264_1_1_1	10264_1_1_1	10264_1_1_1	4001111.0917287376	4001111.0917287376	0.0	strict	10264_1_1_1	159.0	7.0	1.9082712622	0.79
10264_1_1_1	7312_1_1_1	10264_1_1_1	3000952.0	4001111.0917287376	1000159.0917287376	moderate	7312_1_1_1	136.0	7.0	0.0	0.92
10267_1_1_1	18824_1_1_1	18824_1_1_1	4000798.0	4000798.0	0.0	strict	18824_1_1_1	114.0	7.0	0.0	0.61
10267_1_1_1	10267_1_1_1	18824_1_1_1	4000756.0	4000798.0	42.0	strict	10267_1_1_1	108.0	7.0	0.0	0.59
10269_1_1_1	10269_1_1_1	10269_1_1_1	4000406.0	4000406.0	0.0	strict	10269_1_1_1	58.0	7.0	0.0	1.43
10270_1_1_1	10270_1_1_1	10270_1_1_1	4000796.129697241	4000796.129697241	0.0	strict	10270_1_1_1	114.0	7.0	1.8703027593	0.45
10271_1_1_1	10271_1_1_1	10271_1_1_1	4000686.0	4000686.0	0.0	strict	10271_1_1_1	98.0	7.0	0.0	1.23
10273_1_1_1	10273_1_1_1	10273_1_1_1	4000581.0	4000581.0	0.0	strict	10273_1_1_1	83.0	7.0	0.0	2.82
10274_1_1_1	10274_1_1_1	10274_1_1_1	4000693.0	4000693.0	0.0	strict	10274_1_1_1	99.0	7.0	0.0	0.76
10275_1_1_1	10275_1_1_1	10275_1_1_1	4000609.0	4000609.0	0.0	strict	10275_1_1_1	87.0	7.0	0.0	0.6
10286_1_1_1	10286_1_1_1	10286_1_1_1	3000501.6148734987	3000501.6148734987	0.0	moderate	10286_1_1_1	72.0	7.0	2.3851265014	1.02
10297_1_1_1	10297_1_1_1	10297_1_1_1	3000403.261554542	3000403.261554542	0.0	moderate	10297_1_1_1	58.0	7.0	2.738445458	0.75
10299_1_1_1	10299_1_1_1	10299_1_1_1	4000728.0	4000728.0	0.0	strict	10299_1_1_1	104.0	7.0	0.0	0.47
10314_1_1_1	10314_1_1_1	10314_1_1_1	4000798.0	4000798.0	0.0	strict	10314_1_1_1	114.0	7.0	0.0	0.42
10319_1_1_1	10319_1_1_1	10319_1_1_1	4000763.0	4000763.0	0.0	strict	10319_1_1_1	109.0	7.0	0.0	0.64
10322_1_1_1	10330_1_1_1	10330_1_1_1	4000735.0	4000735.0	0.0	strict	10330_1_1_1	105.0	7.0	0.0	1.75
10322_1_1_1	10334_1_1_1	10330_1_1_1	4000733.5900460454	4000735.0	1.4099539546296	strict	10334_1_1_1	105.0	7.0	1.4099539545	1.39
10322_1_1_1	10322_1_1_1	10330_1_1_1	4000686.0	4000735.0	49.0	strict	10322_1_1_1	98.0	7.0	0.0	1.41
10322_1_1_1	10146_1_1_1	10330_1_1_1	4000686.0	4000735.0	49.0	strict	10146_1_1_1	98.0	7.0	0.0	1.25
10323_1_1_1	10323_1_1_1	10323_1_1_1	4000707.0	4000707.0	0.0	strict	10323_1_1_1	101.0	7.0	0.0	2.49
10324_1_1_1	10324_1_1_1	10324_1_1_1	4000651.0	4000651.0	0.0	strict	10324_1_1_1	93.0	7.0	0.0	2.67
10325_1_1_1	10325_1_1_1	10325_1_1_1	3000693.0	3000693.0	0.0	moderate	10325_1_1_1	99.0	7.0	0.0	1.06
10327_1_1_1	10327_1_1_1	10327_1_1_1	4000770.0	4000770.0	0.0	strict	10327_1_1_1	110.0	7.0	0.0	1.59
10329_1_1_1	10329_1_1_1	10329_1_1_1	4000609.0	4000609.0	0.0	strict	10329_1_1_1	87.0	7.0	0.0	1.97
10332_1_1_1	10332_1_1_1	10332_1_1_1	4000721.0	4000721.0	0.0	strict	10332_1_1_1	103.0	7.0	0.0	1.64
10332_1_1_1	10162_1_1_1	10332_1_1_1	3000774.0699165175	4000721.0	999946.9300834825	moderate	10162_1_1_1	111.0	7.0	2.9300834824	1.41
10332_1_1_1	15777_1_1_1	10332_1_1_1	3000679.0	4000721.0	1000042.0	moderate	15777_1_1_1	97.0	7.0	0.0	3.21
10333_1_1_1	10333_1_1_1	10333_1_1_1	4000819.0	4000819.0	0.0	strict	10333_1_1_1	117.0	7.0	0.0	1.29
10335_1_1_1	10335_1_1_1	10335_1_1_1	4000707.0	4000707.0	0.0	strict	10335_1_1_1	101.0	7.0	0.0	2.18
10336_1_1_1	10336_1_1_1	10336_1_1_1	4001181.052531304	4001181.052531304	0.0	strict	10336_1_1_1	169.0	7.0	1.947468696	0.31
10338_1_1_1	10338_1_1_1	10338_1_1_1	4000364.0	4000364.0	0.0	strict	10338_1_1_1	52.0	7.0	0.0	0.36
1071_1_1_1	1071_1_1_1	1071_1_1_1	3000117.0	3000117.0	0.0	moderate	1071_1_1_1	39.0	3.0	0.0	0.0
11000_1_1_1	11000_1_1_1	11000_1_1_1	4000172.0	4000172.0	0.0	strict	11000_1_1_1	43.0	4.0	0.0	2.29
11009_1_1_1	11009_1_1_1	11009_1_1_1	3000669.472005679	3000669.472005679	0.0	moderate	11009_1_1_1	96.0	7.0	2.5279943212	0.76
11017_1_1_1	11017_1_1_1	11017_1_1_1	3000634.7990433997	3000634.7990433997	0.0	moderate	11017_1_1_1	91.0	7.0	2.2009566004	0.93
11018_1_1_1	18119_1_1_1	18119_1_1_1	4000448.0	4000448.0	0.0	strict	18119_1_1_1	64.0	7.0	0.0	0.66
11018_1_1_1	11018_1_1_1	18119_1_1_1	4000434.0	4000448.0	14.0	strict	11018_1_1_1	62.0	7.0	0.0	3.12
11024_1_1_1	11024_1_1_1	11024_1_1_1	3000455.0	3000455.0	0.0	moderate	11024_1_1_1	65.0	7.0	0.0	1.03
11024_1_1_1	15378_1_1_1	11024_1_1_1	3000441.0	3000455.0	14.0	moderate	15378_1_1_1	63.0	7.0	0.0	0.97
11026_1_1_1	11026_1_1_1	11026_1_1_1	3000476.0	3000476.0	0.0	moderate	11026_1_1_1	68.0	7.0	0.0	0.64
11030_2_1_1	11030_2_1_1	11030_2_1_1	3000753.759238701	3000753.759238701	0.0	moderate	11030_2_1_1	108.0	7.0	2.240761299	0.51
11032_1_1_1	11033_1_1_1	11033_1_1_1	3000635.368520045	3000635.368520045	0.0	moderate	11033_1_1_1	91.0	7.0	1.6314799549	0.64
11032_1_1_1	11032_1_1_1	11033_1_1_1	3000627.4898621025	3000635.368520045	7.878657942637801	moderate	11032_1_1_1	90.0	7.0	2.5101378975	0.85
11037_1_1_1	11037_1_1_1	11037_1_1_1	4000434.0	4000434.0	0.0	strict	11037_1_1_1	62.0	7.0	0.0	2.43
11037_1_1_1	16207_1_1_1	11037_1_1_1	4000402.0	4000434.0	32.0	strict	16207_1_1_1	67.0	6.0	0.0	3.78
11042_1_1_1	11042_1_1_1	11042_1_1_1	4000609.0	4000609.0	0.0	strict	11042_1_1_1	87.0	7.0	0.0	0.61
11054_1_1_1	11054_1_1_1	11054_1_1_1	3000104.0	3000104.0	0.0	moderate	11054_1_1_1	26.0	4.0	0.0	0.0
11057_1_1_1	11057_1_1_1	11057_1_1_1	4000904.101553515	4000904.101553515	0.0	strict	11057_1_1_1	151.0	6.0	1.8984464844	0.66
11060_1_1_1	11060_1_1_1	11060_1_1_1	4000666.0	4000666.0	0.0	strict	11060_1_1_1	111.0	6.0	0.0	1.29
11063_1_1_1	11063_1_1_1	11063_1_1_1	3000560.0	3000560.0	0.0	moderate	11063_1_1_1	80.0	7.0	0.0	0.63
11065_1_1_1	11065_1_1_1	11065_1_1_1	4000749.0	4000749.0	0.0	strict	11065_1_1_1	107.0	7.0	0.0	0.41
11067_1_1_1	11067_1_1_1	11067_1_1_1	3000995.0	3000995.0	0.0	moderate	11067_1_1_1	199.0	5.0	0.0	1.22
11075_1_1_1	11075_1_1_1	11075_1_1_1	4000456.0	4000456.0	0.0	strict	11075_1_1_1	76.0	6.0	0.0	1.08
11076_1_1_1	7248_1_1_1	7248_1_1_1	3000998.20804088	3000998.20804088	0.0	moderate	7248_1_1_1	143.0	7.0	2.7919591199	1.45
11076_1_1_1	11076_1_1_1	7248_1_1_1	3000921.30416068	3000998.20804088	76.90388019988313	moderate	11076_1_1_1	132.0	7.0	2.69583932	0.93
11077_1_1_1	11077_1_1_1	11077_1_1_1	4000558.0	4000558.0	0.0	strict	11077_1_1_1	93.0	6.0	0.0	3.11
11078_1_1_1	15356_1_1_1	15356_1_1_1	3001076.9504391328	3001076.9504391328	0.0	moderate	15356_1_1_1	154.0	7.0	1.0495608674	0.46
11078_1_1_1	11078_1_1_1	15356_1_1_1	3000828.0	3001076.9504391328	248.95043913275003	moderate	11078_1_1_1	138.0	6.0	0.0	0.48
11083_1_1_1	11083_1_1_1	11083_1_1_1	4001134.0	4001134.0	0.0	strict	11083_1_1_1	162.0	7.0	0.0	0.42
11083_1_1_1	7081_1_1_1	11083_1_1_1	3001134.0	4001134.0	1000000.0	moderate	7081_1_1_1	162.0	7.0	0.0	0.38
11085_1_1_1	11085_1_1_1	11085_1_1_1	3000763.0	3000763.0	0.0	moderate	11085_1_1_1	109.0	7.0	0.0	2.38
11085_1_1_1	7058_1_1_1	11085_1_1_1	3000763.0	3000763.0	0.0	moderate	7058_1_1_1	109.0	7.0	0.0	0.34
11088_1_1_1	11088_1_1_1	11088_1_1_1	4000735.0	4000735.0	0.0	strict	11088_1_1_1	105.0	7.0	0.0	0.49
11089_1_1_1	11089_1_1_1	11089_1_1_1	4000784.0	4000784.0	0.0	strict	11089_1_1_1	112.0	7.0	0.0	0.82
11089_1_1_1	10317_1_1_1	11089_1_1_1	3000823.138654504	4000784.0	999960.861345496	moderate	10317_1_1_1	118.0	7.0	2.861345496	0.39
11091_1_1_1	11091_1_1_1	11091_1_1_1	4000742.0	4000742.0	0.0	strict	11091_1_1_1	106.0	7.0	0.0	1.72
11092_1_1_1	11092_1_1_1	11092_1_1_1	4000651.0	4000651.0	0.0	strict	11092_1_1_1	93.0	7.0	0.0	0.79
11095_1_1_1	11095_1_1_1	11095_1_1_1	3000942.404367919	3000942.404367919	0.0	moderate	11095_1_1_1	135.0	7.0	2.5956320811	1.03
11096_1_1_1	11096_1_1_1	11096_1_1_1	4000735.0	4000735.0	0.0	strict	11096_1_1_1	105.0	7.0	0.0	0.53
11096_1_1_1	11119_1_1_1	11096_1_1_1	3000788.1514882725	4000735.0	999946.8485117275	moderate	11119_1_1_1	113.0	7.0	2.8485117273	0.74
11098_1_1_1	11098_1_1_1	11098_1_1_1	4000763.0	4000763.0	0.0	strict	11098_1_1_1	109.0	7.0	0.0	0.78
11098_1_1_1	11111_1_1_1	11098_1_1_1	3000788.130362947	4000763.0	999974.869637053	moderate	11111_1_1_1	113.0	7.0	2.8696370531	0.92
11099_1_1_1	11099_1_1_1	11099_1_1_1	4000742.0	4000742.0	0.0	strict	11099_1_1_1	106.0	7.0	0.0	0.3
11099_1_1_1	11112_1_1_1	11099_1_1_1	3000788.358100675	4000742.0	999953.641899325	moderate	11112_1_1_1	113.0	7.0	2.6418993249	0.41
11103_1_1_1	11103_1_1_1	11103_1_1_1	4000700.0	4000700.0	0.0	strict	11103_1_1_1	100.0	7.0	0.0	1.39
11104_1_1_1	11101_1_1_1	11101_1_1_1	4000966.0	4000966.0	0.0	strict	11101_1_1_1	138.0	7.0	0.0	1.67
11104_1_1_1	11104_1_1_1	11101_1_1_1	4000791.0	4000966.0	175.0	strict	11104_1_1_1	113.0	7.0	0.0	0.45
11104_1_1_1	6308_1_1_1	11101_1_1_1	3000660.0	4000966.0	1000306.0	moderate	6308_1_1_1	110.0	6.0	0.0	0.81
11105_1_1_1	11105_1_1_1	11105_1_1_1	4000917.0	4000917.0	0.0	strict	11105_1_1_1	131.0	7.0	0.0	0.64
11106_1_1_1	11106_1_1_1	11106_1_1_1	3000851.30900824	3000851.30900824	0.0	moderate	11106_1_1_1	122.0	7.0	2.6909917602	1.02
11107_1_1_1	11107_1_1_1	11107_1_1_1	4000791.0	4000791.0	0.0	strict	11107_1_1_1	113.0	7.0	0.0	1.29
11108_1_1_1	11108_1_1_1	11108_1_1_1	3000865.933692109	3000865.933692109	0.0	moderate	11108_1_1_1	124.0	7.0	2.0663078911	0.55
11110_1_1_1	11110_1_1_1	11110_1_1_1	4000693.0	4000693.0	0.0	strict	11110_1_1_1	99.0	7.0	0.0	0.8
11113_1_1_1	11113_1_1_1	11113_1_1_1	4000854.0	4000854.0	0.0	strict	11113_1_1_1	122.0	7.0	0.0	0.55
11114_1_1_1	11114_1_1_1	11114_1_1_1	4000798.0	4000798.0	0.0	strict	11114_1_1_1	114.0	7.0	0.0	1.51
11114_1_1_1	4302_1_1_1	11114_1_1_1	3000791.0	4000798.0	1000007.0	moderate	4302_1_1_1	113.0	7.0	0.0	1.28
11116_1_1_1	11116_1_1_1	11116_1_1_1	3000872.8669499108	3000872.8669499108	0.0	moderate	11116_1_1_1	125.0	7.0	2.1330500894	0.72
11118_1_1_1	11118_1_1_1	11118_1_1_1	4000728.0	4000728.0	0.0	strict	11118_1_1_1	104.0	7.0	0.0	0.59
