,protein_length,mean_disorder_percentile,predictor_disagreement,length_bin
A0A075B6Y9,20,0.7876106273472897,0.24483145601895623,<200
A0A075B700,18,0.7497598376548531,0.22527362436491816,<200
A0A075B706,16,0.7784296373967112,0.20545613262874643,<200
A0A075B734,346,0.3874591930329582,0.16203541582368708,200-499
A0A075B759,164,0.1538553137972089,0.1929126680967206,<200
A0A075B767,164,0.14657747246097796,0.18213103725158244,<200
A0A087WSX0,123,0.2696790556781335,0.13232585495876817,<200
A0A087WSY4,118,0.22520840799924197,0.10086283250770617,<200
A0A087WSY6,115,0.2576775018252232,0.12109809121786828,<200
A0A087WSZ0,117,0.23755323013762197,0.10834984281157058,<200
A0A087WSZ9,112,0.263249132989382,0.1410209325199943,<200
A0A087WT01,109,0.2239845454265051,0.11970558791142083,<200
A0A087WT02,112,0.26726355700459753,0.16773162278903342,<200
A0A087WT03,109,0.2463800285405012,0.11618935174966434,<200
A0A087WTH1,108,0.5437081267542045,0.20013754407896445,<200
A0A087WUL8,3843,0.6992051793966945,0.24680686497936888,>=1000
A0A087WUV0,522,0.7017107292273355,0.1084994863343553,500-999
A0A087WV53,238,0.3151437453263547,0.1601309508353735,200-499
A0A087WV62,115,0.24542421142125814,0.1101698497696522,<200
A0A087WVF3,549,0.6191261961082785,0.0997012874478882,500-999
A0A087WW87,121,0.29231317768333037,0.10505325176023546,<200
A0A087WWA1,95,0.8216395574466728,0.15257562806909822,<200
A0A087WWS6,190,0.3181511323678597,0.1744210818815168,<200
A0A087WXM9,373,0.9413870277064563,0.0710472543655487,200-499
A0A087WXS9,549,0.6216287119846029,0.10078796600188948,500-999
A0A087X0K7,114,0.2824373720904795,0.14171937340406454,<200
A0A087X0M5,115,0.25180678763127456,0.11566490526272925,<200
A0A087X179,549,0.6162850615116142,0.10066189870186346,500-999
A0A087X1C5,515,0.1281289163331597,0.11705326558641961,500-999
A0A087X1G2,549,0.61609167780134,0.0996421893223092,500-999
A0A096LNP1,70,0.6115463039456146,0.19363081197743315,<200
A0A096LNW5,274,0.30860318966426703,0.13415526012091467,200-499
A0A096LP01,95,0.7255293195132422,0.1606061705459203,<200
A0A096LP49,1063,0.8693801538640025,0.1639224514715657,>=1000
A0A096LP55,91,0.6338611622880964,0.19133806899727265,<200
A0A096LPI5,108,0.8809321830328212,0.16330022629400934,<200
A0A096LPK9,316,0.12160252758173067,0.12215065918583992,200-499
A0A0A0MRZ7,120,0.26244516919987637,0.0767169486291542,<200
A0A0A0MRZ8,115,0.26978333663736637,0.1259290042898331,<200
A0A0A0MRZ9,124,0.27674319968167144,0.13829386216556358,<200
A0A0A0MS00,114,0.3999439087767405,0.18577872424289463,<200
A0A0A0MS01,119,0.27246935008892265,0.12195392180996263,<200
A0A0A0MS02,117,0.3023058560716685,0.1217655437643313,<200
A0A0A0MS03,114,0.2727842670126636,0.11184049690275197,<200
A0A0A0MS04,114,0.24459440917261213,0.09100561821423804,<200
A0A0A0MS05,114,0.3218567271357366,0.1454149299270636,<200
A0A0A0MS06,115,0.29460904213084194,0.1072331316619186,<200
A0A0A0MS14,117,0.22849371916557493,0.11546483370070179,<200
A0A0A0MS15,119,0.22859677700596057,0.09118608880155558,<200
A0A0A0MT36,114,0.32791074884355625,0.14927714623424904,<200
A0A0A0MT70,17,0.7644526058143725,0.27005132138013255,<200
A0A0A0MT76,42,0.7260575134500701,0.20870169039907885,<200
A0A0A0MT78,15,0.7821391585057207,0.19422629103882072,<200
A0A0A0MT87,16,0.773550911972088,0.28562639742648194,<200
A0A0A0MT89,12,0.7799568088791453,0.24072206403942584,<200
A0A0A0MT94,16,0.785825623288941,0.2122641121058753,<200
A0A0A0MTA4,15,0.8025639598739717,0.19075004464481932,<200
A0A0A0MTA7,16,0.7560687608967933,0.21448879427822035,<200
A0A0A6YYC5,116,0.2406484832536123,0.10842931845645351,<200
A0A0A6YYD4,124,0.3411109747159325,0.11977842296089596,<200
A0A0A6YYG2,114,0.2757170349122635,0.09280096870136739,<200
A0A0A6YYG3,113,0.27488329162251884,0.12074623355855732,<200
A0A0A6YYJ7,113,0.2245776934920406,0.1387410302841256,<200
A0A0A6YYK1,113,0.21507409676545772,0.1352990968500126,<200
A0A0A6YYK4,115,0.3810472805244286,0.15117311650082627,<200
A0A0A6YYK6,109,0.21155369771315796,0.1237178900092109,<200
A0A0A6YYK7,116,0.2512794183470112,0.1512213551404869,<200
A0A0A6YYL3,544,0.6795256220824176,0.1238270653457405,500-999
A0A0B4J1U3,117,0.33789385886997464,0.12027495607577761,<200
A0A0B4J1U4,118,0.28512064043670493,0.12392356484041787,<200
A0A0B4J1U6,114,0.24351879695626535,0.1105456622747,<200
A0A0B4J1U7,121,0.27697178522981614,0.0920898805105129,<200
A0A0B4J1V0,119,0.26523939703835914,0.08089644406623897,<200
A0A0B4J1V1,117,0.23530014558070628,0.09642317748963194,<200
A0A0B4J1V2,119,0.218417434289898,0.1061664170172555,<200
A0A0B4J1V6,119,0.25061330551230754,0.0872236233367987,<200
A0A0B4J1V7,117,0.23560102631197774,0.09817207910200179,<200
A0A0B4J1W7,369,0.7529570791120475,0.13643747082131935,200-499
A0A0B4J1X5,117,0.23037309945981507,0.09261128602100796,<200
A0A0B4J1X8,118,0.21656415784630248,0.09170606247127946,<200
A0A0B4J1Y8,123,0.32916055660467014,0.12402612423540828,<200
A0A0B4J1Y9,119,0.23549436396008042,0.09505068459182459,<200
A0A0B4J1Z2,117,0.27087965482608045,0.11947247553821996,<200
A0A0B4J200,16,0.816928671048294,0.17346416666093276,<200
A0A0B4J234,112,0.26587187667130185,0.15175706272870362,<200
A0A0B4J235,113,0.24493288757976128,0.12501125766334295,<200
A0A0B4J237,113,0.23909650667725918,0.14442195689409865,<200
A0A0B4J238,106,0.2293290514125982,0.11132894117401232,<200
A0A0B4J240,114,0.22090231915652533,0.11212914954427693,<200
A0A0B4J241,112,0.23271196109299944,0.12321837558431056,<200
A0A0B4J244,114,0.2180568102150577,0.12676160825169827,<200
A0A0B4J245,112,0.17847699287075577,0.10972047982451344,<200
A0A0B4J248,108,0.24812656029303054,0.14163736692432932,<200
A0A0B4J249,113,0.2637010673255581,0.13984173738634387,<200
A0A0B4J262,113,0.2529290296834328,0.17616786856363573,<200
A0A0B4J263,110,0.1841104535400168,0.11774208174691134,<200
A0A0B4J264,116,0.28372008142365096,0.12056564569330289,<200
A0A0B4J265,109,0.30788155757270524,0.15351928727614655,<200
A0A0B4J266,112,0.2536034386103297,0.12201488150839136,<200
A0A0B4J268,109,0.24127265427571123,0.16726446034315348,<200
A0A0B4J271,114,0.1809706707158104,0.11757526806874675,<200
A0A0B4J272,114,0.2793759519639547,0.12407537353186969,<200
A0A0B4J273,112,0.29384745294100933,0.16564578326756593,<200
A0A0B4J274,112,0.2857131647529377,0.17787297925810977,<200
A0A0B4J275,112,0.3432481456925206,0.17900119282108637,<200
A0A0B4J276,109,0.23723236160474345,0.11444310635967973,<200
A0A0B4J277,110,0.2555449370746865,0.12823551102099096,<200
A0A0B4J279,112,0.2146547520078513,0.12080518322685958,<200
A0A0B4J280,105,0.3000656495288793,0.1428066258216925,<200
A0A0B4J2A2,164,0.1497423058386037,0.18615496274733354,<200
A0A0B4J2D9,117,0.26130622464409575,0.10759489354819363,<200
A0A0B4J2E0,115,0.25143902996118406,0.09827915130828244,<200
A0A0B4J2F0,54,0.5950719247952977,0.22747463257183034,<200
A0A0B4J2H0,117,0.25226568034291097,0.09911722196004923,<200
A0A0C4DGP1,68,0.5288458204957694,0.21250174425827306,<200
A0A0C4DH24,114,0.3209605505167275,0.1383573787041915,<200
A0A0C4DH25,116,0.2676521593593674,0.14636671499506282,<200
A0A0C4DH26,115,0.2882678540049162,0.10909966506332522,<200
A0A0C4DH27,118,0.28932635896899345,0.11571905717447291,<200
A0A0C4DH28,118,0.29790413987417874,0.13137570071268911,<200
A0A0C4DH29,117,0.25371515179897963,0.10782856949582478,<200
A0A0C4DH30,117,0.29443427992074184,0.09994371322474259,<200
A0A0C4DH31,117,0.26090634311968397,0.1086816890348757,<200
A0A0C4DH32,117,0.24938691423980142,0.08775794350707222,<200
A0A0C4DH33,117,0.29600872897248054,0.12036157522113401,<200
A0A0C4DH34,117,0.22084062852230663,0.10457041759025773,<200
A0A0C4DH35,117,0.24270460605272454,0.08309481443491679,<200
A0A0C4DH36,116,0.2343225412216063,0.09336679032490128,<200
A0A0C4DH38,117,0.22849841471615404,0.14737500370865694,<200
A0A0C4DH39,117,0.25543698059869224,0.10468346827752774,<200
A0A0C4DH41,118,0.22301360802436554,0.09483005132092077,<200
A0A0C4DH42,116,0.22462549930015802,0.09049121004439349,<200
A0A0C4DH43,119,0.22814826412516895,0.11708046823989755,<200
A0A0C4DH55,119,0.28922978261963606,0.11344691159254294,<200
A0A0C4DH59,114,0.2444152972605339,0.1054131143154477,<200
A0A0C4DH62,17,0.7627841583924413,0.26758758184751635,<200
A0A0C4DH67,115,0.25031947579149144,0.14419832523296697,<200
A0A0C4DH68,120,0.2528900976969278,0.08946577134889949,<200
A0A0C4DH69,117,0.2468692751877389,0.09555355706483236,<200
A0A0C4DH72,117,0.2671840681208065,0.09685599917491275,<200
A0A0C4DH73,117,0.26809378652032356,0.09900129391187414,<200
A0A0C5B5G6,16,0.7897369612232756,0.25288594362801875,<200
A0A0D9SF12,145,0.7541934763689206,0.18493113588304275,<200
A0A0G2JMD5,474,0.1750492974673854,0.09501917749869784,200-499
A0A0G2JMI3,117,0.283106579517214,0.14131846236430257,<200
A0A0G2JS06,123,0.26434660906458557,0.1386587956109248,<200
A0A0J9YVY3,117,0.23584614194542805,0.11368987388072038,<200
A0A0J9YWL9,993,0.7228902173918429,0.16678903628873298,500-999
A0A0J9YWP8,16,0.7093217118400749,0.26848750684865064,<200
A0A0J9YWX3,17,0.830343173494325,0.2219579726487738,<200
A0A0J9YX06,15,0.75245525176806,0.2734502163142128,<200
A0A0J9YX35,117,0.21307894710770237,0.09336840314360745,<200
A0A0J9YX57,407,0.7521484635009974,0.1223675907273111,200-499
A0A0J9YX75,114,0.2573762630996423,0.09590242928414895,<200
A0A0J9YX94,578,0.7678720880914983,0.06253075271535577,500-999
A0A0J9YXA8,15,0.793052389833112,0.20676594511905816,<200
A0A0J9YXG5,16,0.7851136469285354,0.23119646276495923,<200
A0A0J9YXM7,16,0.865399750613304,0.22274121493202667,<200
A0A0J9YXQ4,647,0.7784221257249584,0.08599034750983359,500-999
A0A0J9YXV3,536,0.8788864613247334,0.1399099398671817,500-999
A0A0J9YXX1,117,0.2338663042468038,0.1469874977648758,<200
A0A0J9YXY3,114,0.27775450335083013,0.08714574097034686,<200
A0A0J9YY54,714,0.7626862915284138,0.21849146146554937,500-999
A0A0K0K1A3,114,0.2524681103238215,0.11480415922260788,<200
A0A0K0K1A5,114,0.268418105958388,0.08789393128848014,<200
A0A0K0K1B3,111,0.24096131108140756,0.17911887079252875,<200
A0A0K0K1C0,115,0.27289282250731267,0.1146080741673777,<200
A0A0K0K1C4,114,0.24392312142572678,0.1031605551385023,<200
A0A0K0K1D8,114,0.26486396631733594,0.12178087936155448,<200
A0A0K0K1E9,115,0.3441037451887976,0.16030818761354879,<200
A0A0K0K1G6,114,0.24039610410889534,0.12116051332490353,<200
A0A0K0K1G8,114,0.21178194484563997,0.11271385042164986,<200
A0A0K2S4Q6,201,0.5025469557013398,0.18377967083922367,200-499
A0A0U1RQE8,302,0.14807097262996216,0.08455394211969416,200-499
A0A0U1RQF7,123,0.7934455928751026,0.150569966357252,<200
A0A0U1RQG5,324,0.9498775032215779,0.05933524570403311,200-499
A0A0U1RQI7,1052,0.6753618591482093,0.18843495307045768,>=1000
A0A0U1RQS6,177,0.8678935851306885,0.09327502438596803,<200
A0A0U1RR11,272,0.6452584330188412,0.15942991438666496,200-499
A0A0U1RR37,186,0.9509913945720975,0.031970802722977164,<200
A0A0U1RRA0,63,0.670770706212787,0.22332688472739393,<200
A0A0U1RRE5,68,0.9443399481895659,0.09806280871954116,<200
A0A0U1RRI6,272,0.6471551351460065,0.15007346041997954,200-499
A0A0U1RRK4,108,0.930580363967815,0.17319721634037505,<200
A0A0U1RRL7,71,0.8992157533866431,0.1511519543171922,<200
A0A0U1RRN3,59,0.7262514813650779,0.1909691026688687,<200
A0A0X1KG70,313,0.10347763383968772,0.10630013001992492,200-499
A0A183,80,0.9464663252773738,0.05248686919574448,<200
A0A1B0GTB2,48,0.7014544319725604,0.19839247355941367,<200
A0A1B0GTC6,90,0.6221417647378792,0.24209275976606998,<200
A0A1B0GTD5,131,0.7249005223291809,0.15067471360387566,<200
A0A1B0GTH6,734,0.7441408765717525,0.13326639961133396,500-999
A0A1B0GTH9,108,0.4591441013409955,0.20685592013848142,<200
A0A1B0GTI1,187,0.9396250434117459,0.04048752563147991,<200
A0A1B0GTI8,187,0.35690102016704667,0.1971719233717618,<200
A0A1B0GTJ6,334,0.8615515213476926,0.09948490734221858,200-499
A0A1B0GTK4,181,0.6352476416576154,0.1468220856530646,<200
A0A1B0GTK5,79,0.8615160417512103,0.10867619495882279,<200
A0A1B0GTL2,189,0.6322370726947754,0.148627511438478,<200
A0A1B0GTQ4,84,0.6760816229069658,0.16686231012333957,<200
A0A1B0GTR0,161,0.577230360891871,0.1664310174841488,<200
A0A1B0GTR3,108,0.9466002443574126,0.12686696114487497,<200
A0A1B0GTR4,108,0.8493064159922847,0.2530525716538961,<200
A0A1B0GTS1,333,0.8262826426492378,0.07076860648339663,200-499
A0A1B0GTU1,805,0.8895135760272882,0.14588384625366138,500-999
A0A1B0GTU2,59,0.7089748483121142,0.17840732896353778,<200
A0A1B0GTW7,788,0.36962841737668095,0.15166767060386774,500-999
A0A1B0GTY4,177,0.6438624200234542,0.16546584725424263,<200
A0A1B0GTZ2,297,0.7497601287987175,0.10275527194609684,200-499
A0A1B0GU29,152,0.9081549045644522,0.07251090334845438,<200
A0A1B0GU33,70,0.8590799364023024,0.18478742281257118,<200
A0A1B0GU71,98,0.6907544734418871,0.20522969553355871,<200
A0A1B0GUA5,103,0.8316009413015559,0.15336535129685294,<200
A0A1B0GUA6,201,0.9325796671707068,0.05188062046594662,200-499
A0A1B0GUA7,166,0.5014575458050252,0.12075363852702478,<200
A0A1B0GUA9,212,0.982086540837093,0.02299311808348587,200-499
A0A1B0GUC4,80,0.8361245215249272,0.1690983479058955,<200
A0A1B0GUI7,84,0.6627735617449179,0.2151688363388347,<200
A0A1B0GUJ8,204,0.6449778088035188,0.14438527602882925,200-499
A0A1B0GUQ0,79,0.789268315836642,0.15044936872677125,<200
A0A1B0GUS0,222,0.9193869151107854,0.0491784337683125,200-499
A0A1B0GUS4,154,0.1695536717041771,0.24003435935593428,<200
A0A1B0GUT2,108,0.8237403310026554,0.17420037561169105,<200
A0A1B0GUU1,675,0.3245972450199594,0.09837218151312233,500-999
A0A1B0GUV1,79,0.8953308046288503,0.11841758042043107,<200
A0A1B0GUV7,120,0.8826713617727957,0.10884742161017497,<200
A0A1B0GUW6,1196,0.8673310676289259,0.14176628529173677,>=1000
A0A1B0GUW7,55,0.5792397154645148,0.2233774443409436,<200
A0A1B0GUX0,176,0.7264389145151923,0.13493448755174206,<200
A0A1B0GUY1,285,0.8373166838809946,0.19317522755827293,200-499
A0A1B0GV03,622,0.7873328591733292,0.08849198139387146,500-999
A0A1B0GV22,79,0.789268315836642,0.15044936872677125,<200
A0A1B0GV85,526,0.7236264076767858,0.14179618659158857,500-999
A0A1B0GV90,55,0.7419407769373543,0.19301363804083385,<200
A0A1B0GV96,52,0.921190384524057,0.17587869341216714,<200
A0A1B0GVB3,256,0.7979604145369582,0.1576857961436389,200-499
A0A1B0GVD1,139,0.43236630007267685,0.15806178883151634,<200
A0A1B0GVG4,234,0.676403915866791,0.18616006048183656,200-499
A0A1B0GVG6,124,0.9377804483033132,0.12524824906655627,<200
A0A1B0GVH4,220,0.4568724666882581,0.17110935696137983,200-499
A0A1B0GVH6,325,0.8621800733396874,0.07424628652165528,200-499
A0A1B0GVH7,501,0.6052443717177223,0.13654950719249015,500-999
A0A1B0GVK7,83,0.722605396503385,0.16736889540443783,<200
A0A1B0GVM5,59,0.8798859140816915,0.11281613853092877,<200
A0A1B0GVM6,126,0.8523838133123541,0.17104884397690606,<200
A0A1B0GVN3,265,0.7908556370249625,0.10850805515428724,200-499
A0A1B0GVQ0,90,0.8012671495397217,0.1421524627635371,<200
A0A1B0GVQ3,168,0.9258429724743887,0.05481397615193087,<200
A0A1B0GVR7,95,0.7809087002766678,0.1754057423857555,<200
A0A1B0GVS7,189,0.8544446974984069,0.1253715500698113,<200
A0A1B0GVT2,93,0.7982979927997447,0.17098962552884334,<200
A0A1B0GVV1,85,0.6188313894981426,0.23572252662607807,<200
A0A1B0GVX0,72,0.35482015995781263,0.2779313679247037,<200
A0A1B0GVY4,71,0.8515009014217791,0.09399809342532421,<200
A0A1B0GVZ2,78,0.6785020380395382,0.15987143142045715,<200
A0A1B0GVZ6,204,0.860093943714429,0.10265976967292442,200-499
A0A1B0GVZ9,203,0.20013611645261883,0.16508876288708826,200-499
A0A1B0GW35,172,0.25955761835422275,0.17035647195662668,<200
A0A1B0GW54,56,0.7029893526901247,0.17355000761394163,<200
A0A1B0GW64,132,0.9080453339087791,0.04219653038190151,<200
A0A1B0GWB2,263,0.8905034740509975,0.03915407023402182,200-499
A0A1B0GWG4,90,0.8073403971868774,0.1746763339175891,<200
A0A1B0GWH4,333,0.8248663896766392,0.07199200547347219,200-499
A0A1B0GWH6,25,0.28929255361580963,0.3179449542528624,<200
A0A1B0GWI6,518,0.9380487519536723,0.08797481764192162,500-999
A0A1B0GWK0,134,0.4375678552529791,0.27250598300219897,<200
A0A1B0GX31,115,0.3390003670131012,0.162514544827188,<200
A0A1B0GX49,114,0.26372819372132617,0.1179700404858892,<200
A0A1B0GX51,115,0.2682921139803195,0.09009378395542045,<200
A0A1B0GX56,115,0.24336240213921778,0.1445451664088304,<200
A0A1B0GX68,115,0.23980629761672478,0.14706433397005136,<200
A0A1B0GX78,115,0.2319074588945367,0.10771977231937464,<200
A0A1B0GX95,115,0.3767079923510951,0.16986816431377527,<200
A0A1B0GXF2,115,0.2983813269635499,0.12251130097272865,<200
A0A1W2PP81,198,0.7848817585863626,0.09135951010131843,<200
A0A1W2PP97,115,0.645354312853247,0.13363164411684805,<200
A0A1W2PPD8,638,0.5552295795985123,0.1317375832009365,500-999
A0A1W2PPE2,198,0.7836325666809996,0.08836977563550327,<200
A0A1W2PPE3,182,0.9260438974535663,0.07818276691514184,<200
A0A1W2PPF3,345,0.824921932119833,0.04821004732799873,200-499
A0A1W2PPG7,107,0.6929770181740023,0.24750425884434513,<200
A0A1W2PPH5,198,0.7884440479702085,0.09378461930600972,<200
A0A1W2PPK0,400,0.8425301028967295,0.07954831612843619,200-499
A0A1W2PPL8,197,0.7697281466595557,0.0745340261499266,<200
A0A1W2PPM1,405,0.8702054914913909,0.075710673641243,200-499
A0A1W2PPW3,197,0.7851246246945746,0.09782579877540819,<200
A0A1W2PQ09,198,0.7810839188965085,0.09288551179381663,<200
A0A1W2PQ27,194,0.12048661971903342,0.11467983644909566,<200
A0A1W2PQ64,194,0.12483274785739103,0.1218109631282045,<200
A0A1W2PQ72,361,0.7553043035886856,0.13953848244666314,200-499
A0A1W2PQ73,354,0.8164607388987127,0.10891219434557725,200-499
A0A1W2PQC6,194,0.11646421264582334,0.11077231532429108,<200
A0A1W2PQD8,194,0.11747382003319132,0.10867806597891519,<200
A0A1W2PQJ5,194,0.13103175831238095,0.13179810573566644,<200
A0A1W2PQL4,384,0.655035405958559,0.18105561140390505,200-499
A0A1W2PQU2,76,0.2997931854320903,0.2611452535057069,<200
A0A1W2PR19,241,0.06635549449095378,0.10180613360677908,200-499
A0A1W2PR48,441,0.5390073237699649,0.1447305128829504,200-499
A0A1W2PR64,198,0.7772554863643539,0.0843535527948888,<200
A0A1W2PR75,194,0.12065348869396225,0.11052816413200901,<200
A0A1W2PR82,267,0.8784616870012496,0.14328729267913742,200-499
A0A1W2PR95,340,0.6265484319259966,0.1637334713401539,200-499
A0A1W2PRP0,233,0.801303306173524,0.04689107881471482,200-499
A0A1W2PRV1,198,0.7765977681614421,0.0833725413852884,<200
A0A1W2PS18,150,0.7665775059760549,0.08039387695065385,<200
A0A286YEU6,314,0.21621656829277489,0.17504621950844917,200-499
A0A286YEV6,105,0.7922010286374842,0.2460410138755264,<200
A0A286YEX9,105,0.7867259167197511,0.23937700455333055,<200
A0A286YEY9,88,0.7411829898401472,0.2390944329520864,<200
A0A286YF01,96,0.7928820479423567,0.24480317765510792,<200
A0A286YF18,149,0.8924765599441983,0.058433765567238845,<200
A0A286YF46,85,0.758435359361492,0.24185537418013442,<200
A0A286YF58,385,0.7323144319011001,0.0690035561976741,200-499
A0A286YF60,100,0.7868211140709503,0.24795312487535429,<200
A0A286YF77,105,0.8129411978548575,0.24350976536872007,<200
A0A286YFB4,120,0.8090686050377981,0.25260242331035676,<200
A0A286YFG1,108,0.8104993218099513,0.2422774497828104,<200
A0A286YFK9,51,0.6596984493479059,0.2059926981832095,<200
A0A2R8Y2Y2,192,0.6858848796446194,0.16249282333674853,<200
A0A2R8Y4L2,320,0.7322377183639563,0.12753587880747685,200-499
A0A2R8Y4L6,323,0.1294461249175008,0.1069872916746705,200-499
A0A2R8Y4Y8,160,0.5400418465249661,0.1231451855205309,<200
A0A2R8Y619,122,0.581715653839156,0.18251786662624864,<200
A0A2R8Y7D0,87,0.33512746609490296,0.2163960911944154,<200
A0A2R8Y7Y5,234,0.9057098000873655,0.08769296822711019,200-499
A0A2R8YCJ5,93,0.8356651878342103,0.12944489357911532,<200
A0A2R8YED5,311,0.12204026087746488,0.12130235726366188,200-499
A0A2R8YFL7,184,0.45776516227773223,0.19982681137499336,<200
A0A2R8YFM6,193,0.5304495132749758,0.13629800548549403,<200
A0A2Z4LIS9,290,0.9338463356600006,0.07863697702766126,200-499
A0A3B3IRV3,181,0.09924634722595092,0.13431477245716156,<200
A0A3B3IS91,260,0.8242947364648998,0.2656623612977204,200-499
A0A3B3IT33,452,0.20826928848449322,0.14690815191749731,200-499
A0A3B3IT45,312,0.08224845181760719,0.0791989115967935,200-499
A0A3B3IT52,213,0.7149090183118567,0.11419533409929762,200-499
A0A3B3IU46,118,0.9150395200582027,0.11016673295497126,<200
A0A3B3IU63,148,0.6968226143902118,0.12089377426898387,<200
A0A3G1DJQ2,38,0.7154622332112847,0.25453262191753373,<200
A0A411D538,79,0.7661501132766773,0.2113819680982394,<200
A0A455ZAR2,87,0.7552197790865199,0.2194035338294775,<200
A0A494BZU4,170,0.30855623726000164,0.23251528204874367,<200
A0A494C071,2061,0.6530797956992177,0.24824969330775118,>=1000
A0A494C086,402,0.7764521641971238,0.07431818479675817,200-499
A0A494C0N9,232,0.867330874907449,0.07383430973758036,200-499
A0A494C0Y3,232,0.8681510517963141,0.08038796304632677,200-499
A0A494C0Z2,265,0.6658997240741138,0.12129901008085835,200-499
A0A494C103,137,0.3824012064157273,0.17189762927976818,<200
A0A494C191,265,0.6661291946773965,0.11739430005252444,200-499
A0A494C1I1,119,0.9183096108426113,0.0383764156418274,<200
A0A494C1R9,314,0.6559851508531342,0.07796033200862972,200-499
A0A539,114,0.3052527403881905,0.12737631661366725,<200
A0A576,114,0.2342081077912307,0.09911294784135477,<200
A0A577,114,0.2809692702157883,0.09853590738872633,<200
A0A578,114,0.24074252424180165,0.11636615031081488,<200
A0A584,115,0.27345392134236957,0.12519370626520718,<200
A0A589,114,0.2931846313694634,0.11172546895255903,<200
A0A590UK83,68,0.5564491480958675,0.2701758602221713,<200
A0A597,114,0.22663248190525975,0.10988819103599347,<200
A0A599,114,0.2604591766566959,0.17643774289638642,<200
A0A5A2,114,0.23334290858549567,0.12888165592840348,<200
A0A5A6,115,0.2220019558244952,0.09916487565370695,<200
A0A5B0,115,0.2645228201343968,0.11511042100435145,<200
A0A5B6,114,0.21549484761601134,0.11821093878263221,<200
A0A5B7,111,0.18381789924392847,0.10572008402636161,<200
A0A5B9,178,0.37264463340987575,0.1224213428545397,<200
A0A5F9ZH02,70,0.7152349246337383,0.19316100618754523,<200
A0A5F9ZHS7,289,0.8702838423129143,0.12672259119727092,200-499
A0A6I8PU40,153,0.7621506351114641,0.1704189408558173,<200
A0A7I2V3R4,345,0.8029366347173208,0.08040734745268702,200-499
A0A7L8Y648,51,0.8907158615785836,0.09792066510436134,<200
A0A7P0TBJ1,273,0.8280331193026943,0.05706527167068982,200-499
A0A804HLA8,68,0.6329370792157191,0.2517970936185352,<200
A0A8I5KQE6,295,0.5690241720370466,0.14925749777741779,200-499
A0A8I5KY20,255,0.7190371889705581,0.163724037316727,200-499
A0A8V8TMC4,285,0.49511737534878464,0.15052730826051863,200-499
