cluster_repr	member	best_repr	member_quality	best_repr_quality	quality_diff_vs_mmseqs	member_tier	member_ID	n_bb_pos	n_bb_types	max_potenci_off	max_lacs_off
10101_1_1_1	10101_1_1_1	10101_1_1_1	3000854.0	3000854.0	0.0	moderate	10101_1_1_1	122.0	7.0	0.0	0.47
10104_1_1_1	10104_1_1_1	10104_1_1_1	2000582.6265511017	2000582.6265511017	0.0	tolerant	10104_1_1_1	117.0	5.0	2.3734488985	2.19
10105_1_1_1	10105_1_1_1	10105_1_1_1	3000560.0	3000560.0	0.0	moderate	10105_1_1_1	80.0	7.0	0.0	0.42
10106_1_1_1	10106_1_1_1	10106_1_1_1	3000669.3386702444	3000669.3386702444	0.0	moderate	10106_1_1_1	96.0	7.0	2.6613297555	1.23
10107_1_1_1	10107_1_1_1	10107_1_1_1	3000791.0	3000791.0	0.0	moderate	10107_1_1_1	113.0	7.0	0.0	0.19
10111_1_1_1	10111_1_1_1	10111_1_1_1	2000594.0	2000594.0	0.0	tolerant	10111_1_1_1	99.0	6.0	0.0	1.02
10112_1_1_1	10112_1_1_1	10112_1_1_1	2000555.2719432616	2000555.2719432616	0.0	tolerant	10112_1_1_1	93.0	6.0	2.7280567381	1.29
10113_1_1_1	10113_1_1_1	10113_1_1_1	3000879.002141356	3000879.002141356	0.0	moderate	10113_1_1_1	126.0	7.0	2.997858644	0.8
10114_1_1_1	10114_1_1_1	10114_1_1_1	3000802.1676381435	3000802.1676381435	0.0	moderate	10114_1_1_1	115.0	7.0	2.8323618565	0.93
10115_1_1_1	10115_1_1_1	10115_1_1_1	3000896.0	3000896.0	0.0	moderate	10115_1_1_1	128.0	7.0	0.0	0.56
10118_1_1_1	10118_1_1_1	10118_1_1_1	2000288.0	2000288.0	0.0	tolerant	10118_1_1_1	72.0	4.0	0.0	0.46
10119_1_1_1	10119_1_1_1	10119_1_1_1	3000564.315625828	3000564.315625828	0.0	moderate	10119_1_1_1	81.0	7.0	2.684374172	0.79
10121_1_1_1	10121_1_1_1	10121_1_1_1	3000753.468982166	3000753.468982166	0.0	moderate	10121_1_1_1	108.0	7.0	2.5310178339	1.09
10123_1_1_1	10123_1_1_1	10123_1_1_1	4000651.0	4000651.0	0.0	strict	10123_1_1_1	93.0	7.0	0.0	0.57
10123_1_1_1	18478_1_1_1	10123_1_1_1	4000651.0	4000651.0	0.0	strict	18478_1_1_1	93.0	7.0	0.0	0.72
10123_1_1_1	5902_1_1_1	10123_1_1_1	3000690.5668518357	4000651.0	999960.4331481643	moderate	5902_1_1_1	99.0	7.0	2.4331481644	0.3
10123_1_1_1	18878_1_1_1	10123_1_1_1	3000651.0	4000651.0	1000000.0	moderate	18878_1_1_1	93.0	7.0	0.0	0.72
10125_1_1_1	10125_1_1_1	10125_1_1_1	3000851.3395124036	3000851.3395124036	0.0	moderate	10125_1_1_1	122.0	7.0	2.6604875963	0.89
10126_1_1_1	10126_1_1_1	10126_1_1_1	3000809.334164101	3000809.334164101	0.0	moderate	10126_1_1_1	116.0	7.0	2.6658358989	0.71
10127_1_1_1	10127_1_1_1	10127_1_1_1	3000669.4093077467	3000669.4093077467	0.0	moderate	10127_1_1_1	96.0	7.0	2.5906922535	0.99
10128_1_1_1	10128_1_1_1	10128_1_1_1	3000837.308674965	3000837.308674965	0.0	moderate	10128_1_1_1	120.0	7.0	2.6913250348	0.55
10129_1_1_1	10129_1_1_1	10129_1_1_1	4000805.0	4000805.0	0.0	strict	10129_1_1_1	115.0	7.0	0.0	0.63
10130_1_1_1	10130_1_1_1	10130_1_1_1	3000732.210330948	3000732.210330948	0.0	moderate	10130_1_1_1	105.0	7.0	2.7896690519	0.74
10131_1_1_1	10131_1_1_1	10131_1_1_1	2000714.0	2000714.0	0.0	tolerant	10131_1_1_1	119.0	6.0	0.0	0.38
10138_1_1_1	10138_1_1_1	10138_1_1_1	3000581.0	3000581.0	0.0	moderate	10138_1_1_1	83.0	7.0	0.0	0.53
10139_1_1_1	10139_1_1_1	10139_1_1_1	3000755.0	3000755.0	0.0	moderate	10139_1_1_1	151.0	5.0	0.0	0.44
10141_1_1_1	10141_1_1_1	10141_1_1_1	4000875.0	4000875.0	0.0	strict	10141_1_1_1	125.0	7.0	0.0	0.81
10143_1_1_1	10143_1_1_1	10143_1_1_1	2000658.1149211507	2000658.1149211507	0.0	tolerant	10143_1_1_1	110.0	6.0	1.8850788492	1.12
10147_1_1_1	10147_1_1_1	10147_1_1_1	4000840.0	4000840.0	0.0	strict	10147_1_1_1	120.0	7.0	0.0	0.26
10149_1_1_1	10149_1_1_1	10149_1_1_1	4000805.0	4000805.0	0.0	strict	10149_1_1_1	115.0	7.0	0.0	0.18
10149_1_1_1	11143_1_1_1	10149_1_1_1	4000798.0	4000805.0	7.0	strict	11143_1_1_1	114.0	7.0	0.0	2.46
10150_1_1_1	10150_1_1_1	10150_1_1_1	3000382.855873584	3000382.855873584	0.0	moderate	10150_1_1_1	55.0	7.0	2.1441264162	0.39
10160_1_1_1	10320_1_1_1	10320_1_1_1	2000607.6614481765	2000607.6614481765	0.0	tolerant	10320_1_1_1	122.0	5.0	2.3385518238	1.86
10160_1_1_1	10160_1_1_1	10320_1_1_1	2000432.0	2000607.6614481765	175.66144817648456	tolerant	10160_1_1_1	108.0	4.0	0.0	1.5
10161_1_1_1	10161_1_1_1	10161_1_1_1	4000686.0	4000686.0	0.0	strict	10161_1_1_1	98.0	7.0	0.0	1.32
10161_1_1_1	10331_1_1_1	10161_1_1_1	2000639.51346331	4000686.0	2000046.48653669	tolerant	10331_1_1_1	107.0	6.0	2.48653669	1.4
10163_1_1_1	10163_1_1_1	10163_1_1_1	4000665.0	4000665.0	0.0	strict	10163_1_1_1	95.0	7.0	0.0	1.72
10164_1_1_1	10164_1_1_1	10164_1_1_1	4000994.0	4000994.0	0.0	strict	10164_1_1_1	142.0	7.0	0.0	0.7
10164_1_1_1	15593_1_1_1	10164_1_1_1	2000927.837672503	4000994.0	2000066.162327497	tolerant	15593_1_1_1	155.0	6.0	2.162327497	0.72
10165_1_1_1	10165_1_1_1	10165_1_1_1	3001047.4565321477	3001047.4565321477	0.0	moderate	10165_1_1_1	150.0	7.0	2.5434678523	1.31
10193_1_1_1	10193_1_1_1	10193_1_1_1	4000448.0	4000448.0	0.0	strict	10193_1_1_1	64.0	7.0	0.0	0.44
10211_1_1_1	10211_1_1_1	10211_1_1_1	2000466.3629556685	2000466.3629556685	0.0	tolerant	10211_1_1_1	78.0	6.0	1.6370443315	0.79
10213_1_1_1	10213_1_1_1	10213_1_1_1	3000600.064536239	3000600.064536239	0.0	moderate	10213_1_1_1	86.0	7.0	1.935463761	0.19
10214_1_1_1	10214_1_1_1	10214_1_1_1	3000382.3747778772	3000382.3747778772	0.0	moderate	10214_1_1_1	55.0	7.0	2.6252221228	0.79
10214_1_1_1	10215_1_1_1	10214_1_1_1	2000261.5215058224	3000382.3747778772	1000120.8532720548	tolerant	10215_1_1_1	44.0	6.0	2.4784941778	2.32
10237_1_1_1	10237_1_1_1	10237_1_1_1	3001159.073293521	3001159.073293521	0.0	moderate	10237_1_1_1	166.0	7.0	2.9267064787	1.0
10242_1_1_1	10242_1_1_1	10242_1_1_1	3000760.250126141	3000760.250126141	0.0	moderate	10242_1_1_1	109.0	7.0	2.749873859	0.94
10248_1_1_1	10248_1_1_1	10248_1_1_1	4000511.0	4000511.0	0.0	strict	10248_1_1_1	73.0	7.0	0.0	0.52
10250_1_1_1	10250_1_1_1	10250_1_1_1	4000987.0	4000987.0	0.0	strict	10250_1_1_1	141.0	7.0	0.0	0.28
10251_1_1_1	10251_1_1_1	10251_1_1_1	4000854.0	4000854.0	0.0	strict	10251_1_1_1	122.0	7.0	0.0	0.44
10251_1_1_1	10249_1_1_1	10251_1_1_1	2000731.040170913	4000854.0	2000122.959829087	tolerant	10249_1_1_1	122.0	6.0	0.9598290868	0.84
10253_1_1_1	10312_1_1_1	10312_1_1_1	4000854.0	4000854.0	0.0	strict	10312_1_1_1	122.0	7.0	0.0	1.13
10253_1_1_1	10253_1_1_1	10312_1_1_1	4000819.0	4000854.0	35.0	strict	10253_1_1_1	117.0	7.0	0.0	1.22
10255_1_1_1	10255_1_1_1	10255_1_1_1	3000711.143261777	3000711.143261777	0.0	moderate	10255_1_1_1	102.0	7.0	2.856738223	0.73
10256_1_1_1	10256_1_1_1	10256_1_1_1	4000693.0	4000693.0	0.0	strict	10256_1_1_1	99.0	7.0	0.0	0.58
10260_1_1_1	10260_1_1_1	10260_1_1_1	4000686.0	4000686.0	0.0	strict	10260_1_1_1	98.0	7.0	0.0	2.82
10261_1_1_1	10261_1_1_1	10261_1_1_1	3000459.603205128	3000459.603205128	0.0	moderate	10261_1_1_1	66.0	7.0	2.3967948718	0.65
10262_1_1_1	10262_1_1_1	10262_1_1_1	4000672.0	4000672.0	0.0	strict	10262_1_1_1	96.0	7.0	0.0	1.13
10263_1_1_1	10263_1_1_1	10263_1_1_1	4000721.0	4000721.0	0.0	strict	10263_1_1_1	103.0	7.0	0.0	0.74
10264_1_1_1	10264_1_1_1	10264_1_1_1	4001111.0917287376	4001111.0917287376	0.0	strict	10264_1_1_1	159.0	7.0	1.9082712622	0.79
10264_1_1_1	7312_1_1_1	10264_1_1_1	3000952.0	4001111.0917287376	1000159.0917287376	moderate	7312_1_1_1	136.0	7.0	0.0	0.92
10264_1_1_1	18185_1_1_1	10264_1_1_1	1000323.8951045354	4001111.0917287376	3000787.196624202	unfiltered	18185_1_1_1	164.0	2.0	4.1048954646	0.0
10265_1_1_1	10265_1_1_1	10265_1_1_1	2000749.042258388	2000749.042258388	0.0	tolerant	10265_1_1_1	125.0	6.0	0.9577416122	0.61
10267_1_1_1	18824_1_1_1	18824_1_1_1	4000798.0	4000798.0	0.0	strict	18824_1_1_1	114.0	7.0	0.0	0.61
10267_1_1_1	10267_1_1_1	18824_1_1_1	4000756.0	4000798.0	42.0	strict	10267_1_1_1	108.0	7.0	0.0	0.59
10268_1_1_1	10268_1_1_1	10268_1_1_1	2000664.1814614215	2000664.1814614215	0.0	tolerant	10268_1_1_1	111.0	6.0	1.8185385785	0.99
10269_1_1_1	10269_1_1_1	10269_1_1_1	4000406.0	4000406.0	0.0	strict	10269_1_1_1	58.0	7.0	0.0	1.43
10270_1_1_1	10270_1_1_1	10270_1_1_1	4000796.129697241	4000796.129697241	0.0	strict	10270_1_1_1	114.0	7.0	1.8703027593	0.45
10271_1_1_1	10271_1_1_1	10271_1_1_1	4000686.0	4000686.0	0.0	strict	10271_1_1_1	98.0	7.0	0.0	1.23
10273_1_1_1	10273_1_1_1	10273_1_1_1	4000581.0	4000581.0	0.0	strict	10273_1_1_1	83.0	7.0	0.0	2.82
10274_1_1_1	10274_1_1_1	10274_1_1_1	4000693.0	4000693.0	0.0	strict	10274_1_1_1	99.0	7.0	0.0	0.76
10275_1_1_1	10275_1_1_1	10275_1_1_1	4000609.0	4000609.0	0.0	strict	10275_1_1_1	87.0	7.0	0.0	0.6
10276_1_1_1	10276_1_1_1	10276_1_1_1	2000420.0	2000420.0	0.0	tolerant	10276_1_1_1	70.0	6.0	0.0	0.35
10279_1_1_1	10279_1_1_1	10279_1_1_1	2000718.296050931	2000718.296050931	0.0	tolerant	10279_1_1_1	120.0	6.0	1.7039490688	0.38
10280_1_1_1	10280_1_1_1	10280_1_1_1	2000672.0	2000672.0	0.0	tolerant	10280_1_1_1	112.0	6.0	0.0	0.88
10286_1_1_1	10286_1_1_1	10286_1_1_1	3000501.6148734987	3000501.6148734987	0.0	moderate	10286_1_1_1	72.0	7.0	2.3851265014	1.02
10297_1_1_1	10297_1_1_1	10297_1_1_1	3000403.261554542	3000403.261554542	0.0	moderate	10297_1_1_1	58.0	7.0	2.738445458	0.75
10299_1_1_1	10299_1_1_1	10299_1_1_1	4000728.0	4000728.0	0.0	strict	10299_1_1_1	104.0	7.0	0.0	0.47
10300_1_1_1	10300_1_1_1	10300_1_1_1	2000693.19998094	2000693.19998094	0.0	tolerant	10300_1_1_1	116.0	6.0	2.8000190597	1.36
10314_1_1_1	10314_1_1_1	10314_1_1_1	4000798.0	4000798.0	0.0	strict	10314_1_1_1	114.0	7.0	0.0	0.42
10314_1_1_1	10278_1_1_1	10314_1_1_1	2000718.439498342	4000798.0	2000079.560501658	tolerant	10278_1_1_1	120.0	6.0	1.5605016578	0.58
10315_1_1_1	10315_1_1_1	10315_1_1_1	2000580.0	2000580.0	0.0	tolerant	10315_1_1_1	116.0	5.0	0.0	1.04
10319_1_1_1	10319_1_1_1	10319_1_1_1	4000763.0	4000763.0	0.0	strict	10319_1_1_1	109.0	7.0	0.0	0.64
10321_1_1_1	10321_1_1_1	10321_1_1_1	2000460.0	2000460.0	0.0	tolerant	10321_1_1_1	115.0	4.0	0.0	1.77
10322_1_1_1	10330_1_1_1	10330_1_1_1	4000735.0	4000735.0	0.0	strict	10330_1_1_1	105.0	7.0	0.0	1.75
10322_1_1_1	10334_1_1_1	10330_1_1_1	4000733.5900460454	4000735.0	1.4099539546296	strict	10334_1_1_1	105.0	7.0	1.4099539545	1.39
10322_1_1_1	10322_1_1_1	10330_1_1_1	4000686.0	4000735.0	49.0	strict	10322_1_1_1	98.0	7.0	0.0	1.41
10322_1_1_1	10146_1_1_1	10330_1_1_1	4000686.0	4000735.0	49.0	strict	10146_1_1_1	98.0	7.0	0.0	1.25
10322_1_1_1	36097_1_1_1	10330_1_1_1	2000428.1160086172	4000735.0	2000306.8839913828	tolerant	36097_1_1_1	86.0	5.0	1.8839913827	1.13
10323_1_1_1	10323_1_1_1	10323_1_1_1	4000707.0	4000707.0	0.0	strict	10323_1_1_1	101.0	7.0	0.0	2.49
10323_1_1_1	10328_1_1_1	10323_1_1_1	2000552.7284607051	4000707.0	2000154.2715392949	tolerant	10328_1_1_1	111.0	5.0	2.2715392949	1.95
10324_1_1_1	10324_1_1_1	10324_1_1_1	4000651.0	4000651.0	0.0	strict	10324_1_1_1	93.0	7.0	0.0	2.67
10324_1_1_1	10142_1_1_1	10324_1_1_1	2000493.0381205787	4000651.0	2000157.9618794213	tolerant	10142_1_1_1	99.0	5.0	1.9618794213	2.71
10325_1_1_1	10325_1_1_1	10325_1_1_1	3000693.0	3000693.0	0.0	moderate	10325_1_1_1	99.0	7.0	0.0	1.06
10326_1_1_1	10326_1_1_1	10326_1_1_1	2000645.1970880984	2000645.1970880984	0.0	tolerant	10326_1_1_1	108.0	6.0	2.8029119017	1.47
10327_1_1_1	10327_1_1_1	10327_1_1_1	4000770.0	4000770.0	0.0	strict	10327_1_1_1	110.0	7.0	0.0	1.59
10329_1_1_1	10329_1_1_1	10329_1_1_1	4000609.0	4000609.0	0.0	strict	10329_1_1_1	87.0	7.0	0.0	1.97
10329_1_1_1	10159_1_1_1	10329_1_1_1	2000458.1390757633	4000609.0	2000150.8609242367	tolerant	10159_1_1_1	92.0	5.0	1.8609242367	1.62
10332_1_1_1	10332_1_1_1	10332_1_1_1	4000721.0	4000721.0	0.0	strict	10332_1_1_1	103.0	7.0	0.0	1.64
10332_1_1_1	10162_1_1_1	10332_1_1_1	3000774.0699165175	4000721.0	999946.9300834825	moderate	10162_1_1_1	111.0	7.0	2.9300834824	1.41
10332_1_1_1	15777_1_1_1	10332_1_1_1	3000679.0	4000721.0	1000042.0	moderate	15777_1_1_1	97.0	7.0	0.0	3.21
10333_1_1_1	10333_1_1_1	10333_1_1_1	4000819.0	4000819.0	0.0	strict	10333_1_1_1	117.0	7.0	0.0	1.29
10335_1_1_1	10335_1_1_1	10335_1_1_1	4000707.0	4000707.0	0.0	strict	10335_1_1_1	101.0	7.0	0.0	2.18
10336_1_1_1	10336_1_1_1	10336_1_1_1	4001181.052531304	4001181.052531304	0.0	strict	10336_1_1_1	169.0	7.0	1.947468696	0.31
10338_1_1_1	10338_1_1_1	10338_1_1_1	4000364.0	4000364.0	0.0	strict	10338_1_1_1	52.0	7.0	0.0	0.36
1065_1_1_1	1065_1_1_1	1065_1_1_1	2000082.0	2000082.0	0.0	tolerant	1065_1_1_1	41.0	2.0	0.0	0.0
1065_1_1_1	5257_1_1_1	1065_1_1_1	1000105.6073782444	2000082.0	999976.3926217556	unfiltered	5257_1_1_1	39.0	3.0	11.3926217557	0.0
1071_1_1_1	1071_1_1_1	1071_1_1_1	3000117.0	3000117.0	0.0	moderate	1071_1_1_1	39.0	3.0	0.0	0.0
1095_1_1_1	1095_1_1_1	1095_1_1_1	1000006.0	1000006.0	0.0	unfiltered	1095_1_1_1	3.0	2.0	0.0	0.0
109_1_1_1	109_1_1_1	109_1_1_1	1000003.0	1000003.0	0.0	unfiltered	109_1_1_1	3.0	1.0	0.0	0.0
11000_1_1_1	11000_1_1_1	11000_1_1_1	4000172.0	4000172.0	0.0	strict	11000_1_1_1	43.0	4.0	0.0	2.29
11009_1_1_1	11009_1_1_1	11009_1_1_1	3000669.472005679	3000669.472005679	0.0	moderate	11009_1_1_1	96.0	7.0	2.5279943212	0.76
11017_1_1_1	11017_1_1_1	11017_1_1_1	3000634.7990433997	3000634.7990433997	0.0	moderate	11017_1_1_1	91.0	7.0	2.2009566004	0.93
11018_1_1_1	18119_1_1_1	18119_1_1_1	4000448.0	4000448.0	0.0	strict	18119_1_1_1	64.0	7.0	0.0	0.66
11018_1_1_1	11018_1_1_1	18119_1_1_1	4000434.0	4000448.0	14.0	strict	11018_1_1_1	62.0	7.0	0.0	3.12
