,protein_length,mean_disorder_percentile,predictor_disagreement,length_bin
A0A096LPK9,316,0.09767033136600653,0.08599595081595623,200-499
A0A0A0MRZ7,120,0.26505853988750555,0.07876189922382827,<200
A0A0A0MRZ8,115,0.2725854842713666,0.12989632823229733,<200
A0A0A0MRZ9,124,0.28569549913685055,0.13888528537908704,<200
A0A0A0MS00,114,0.40736177996196826,0.19014107638548458,<200
A0A0A0MS01,119,0.2654020197088291,0.12323104964286874,<200
A0A0A0MS02,117,0.3041844447206302,0.12582913718548985,<200
A0A0A0MS03,114,0.27470819560903675,0.11552585856192828,<200
A0A0A0MS04,114,0.2474401972383358,0.09355275484917651,<200
A0A0A0MS05,114,0.3248033437120374,0.1500854976203727,<200
A0A0A0MS06,115,0.2944338441935232,0.1109947624516307,<200
A0A0A0MS14,117,0.23163123703824756,0.11889811768865675,<200
A0A0A0MS15,119,0.22551123426833028,0.09362700363176353,<200
A0A0A0MT36,114,0.33586061559260033,0.15141780319434833,<200
A0A0A0MT70,17,0.801548847659123,0.2434578079967246,<200
A0A0A0MT76,42,0.7576992820682614,0.17790318678611847,<200
A0A0A0MT78,15,0.8183916127371405,0.14908494484945342,<200
A0A0A0MT87,16,0.8163141267022349,0.24951215532242071,<200
A0A0A0MT89,12,0.8254580346985284,0.1828100669087829,<200
A0A0A0MT94,16,0.820291404831447,0.17858175208661578,<200
A0A0A0MTA4,15,0.8384662443952882,0.1453920004379113,<200
A0A0A0MTA7,16,0.7973717673397549,0.16019109311875795,<200
A0A0A6YYC5,116,0.2363976794376911,0.1110209750345983,<200
A0A0A6YYD4,124,0.34855502064076793,0.12058374593187063,<200
A0A0A6YYG2,114,0.2811316180557307,0.09374112439852773,<200
A0A0A6YYG3,113,0.2807742347660454,0.1228841264430526,<200
A0A0A6YYJ7,113,0.222852573931047,0.14345510357638727,<200
A0A0A6YYK1,113,0.21372641628402653,0.13995057116293133,<200
A0A0A6YYK4,115,0.3876616781524226,0.1543678615544541,<200
A0A0A6YYK6,109,0.2072093021230524,0.12695000486295752,<200
A0A0A6YYK7,116,0.24962390156646896,0.15639759754220767,<200
A0A0A6YYL3,544,0.7087962264769072,0.05980670802208431,500-999
A0A0B4J1U3,117,0.3467919151664169,0.11963161928424149,<200
A0A0B4J1U4,118,0.287365622944439,0.12797805617837996,<200
A0A0B4J1U6,114,0.24279567671921712,0.11439135273014754,<200
A0A0B4J1U7,121,0.27727245014605045,0.095314969411315,<200
A0A0B4J1V0,119,0.26354722795057123,0.083478910224543,<200
A0A0B4J1V1,117,0.22926357109415188,0.09703055068831777,<200
A0A0B4J1V2,119,0.21748143882266824,0.1098328740652768,<200
A0A0B4J1V6,119,0.24753066521917608,0.08949215690808573,<200
A0A0B4J1V7,117,0.23762809719280845,0.10131403206064793,<200
A0A0B4J1W7,369,0.7455955013056809,0.13831828146497727,200-499
A0A0B4J1X5,117,0.22722081668350974,0.09508117143848273,<200
A0A0B4J1X8,118,0.2116717862647253,0.09301444414499217,<200
A0A0B4J1Y8,123,0.33935372021684845,0.12215858243157317,<200
A0A0B4J1Y9,119,0.2319783524848026,0.09743987117148485,<200
A0A0B4J1Z2,117,0.27702745201254364,0.12135192329302372,<200
A0A0B4J200,16,0.8554662777355889,0.10776065433800076,<200
A0A0B4J234,112,0.2683323992389563,0.15679415881667652,<200
A0A0B4J235,113,0.22989298288416093,0.1155469861619336,<200
A0A0B4J237,113,0.23603832633194272,0.1490209732175001,<200
A0A0B4J238,106,0.227976160846511,0.1151172171057151,<200
A0A0B4J240,114,0.21758180513446182,0.11535001760325304,<200
A0A0B4J241,112,0.228516613524732,0.12650390269774406,<200
A0A0B4J244,114,0.21996132655256845,0.1310032364860796,<200
A0A0B4J245,112,0.17359553752343895,0.11198684491275043,<200
A0A0B4J248,108,0.2487871046738736,0.14658628094895734,<200
A0A0B4J249,113,0.2540262813446252,0.13981604269675407,<200
A0A0B4J262,113,0.24904715469373626,0.18173023344906708,<200
A0A0B4J263,110,0.18243888134278421,0.12170256334699994,<200
A0A0B4J264,116,0.2783242081692797,0.12303509363023954,<200
A0A0B4J265,109,0.30740969507726745,0.15889705025167666,<200
A0A0B4J266,112,0.2540777854472351,0.1262840388650715,<200
A0A0B4J268,109,0.24386042911159017,0.1728448341932402,<200
A0A0B4J271,114,0.1790921158359515,0.12148429397306298,<200
A0A0B4J272,114,0.27923290739542816,0.12842901813533644,<200
A0A0B4J273,112,0.2978498404521885,0.17075752869807953,<200
A0A0B4J274,112,0.2825479869011226,0.18370747274194973,<200
A0A0B4J275,112,0.3343318084402051,0.1820373157921199,<200
A0A0B4J276,109,0.2356937148661805,0.11830988601480784,<200
A0A0B4J277,110,0.25819788962745127,0.1323380901005084,<200
A0A0B4J279,112,0.21249917996982637,0.12476624467573426,<200
A0A0B4J280,105,0.29163644971149466,0.144168846860389,<200
A0A0B4J2A2,164,0.15877166798557432,0.1894887637769202,<200
A0A0B4J2D9,117,0.26668549654538526,0.10940528776239881,<200
A0A0B4J2E0,115,0.2503826896597177,0.10164628593218974,<200
A0A0B4J2F0,54,0.6186679738861335,0.21700035962592668,<200
A0A0B4J2H0,117,0.2575195534048217,0.1005579744243247,<200
A0A0C4DGP1,68,0.5386458585477499,0.21666074749476616,<200
A0A0C4DH24,114,0.3287493523987335,0.14000043936906223,<200
A0A0C4DH25,116,0.27261169259706103,0.15028137067090752,<200
A0A0C4DH26,115,0.29377678334006446,0.11089503088372046,<200
A0A0C4DH27,118,0.293814867090464,0.11851241490643426,<200
A0A0C4DH28,118,0.30433648560264254,0.1336853598236356,<200
A0A0C4DH29,117,0.2596361316590722,0.10923200259309745,<200
A0A0C4DH30,117,0.28037509364040264,0.08796201949686468,<200
A0A0C4DH31,117,0.2668154389219616,0.11014373278325182,<200
A0A0C4DH32,117,0.24771377372435693,0.09060667584208154,<200
A0A0C4DH33,117,0.3009330591912108,0.12311763710951974,<200
A0A0C4DH34,117,0.22006734584593013,0.10819922453000451,<200
A0A0C4DH35,117,0.241366671207459,0.0858550723033806,<200
A0A0C4DH36,116,0.22895604366985498,0.09438239502882902,<200
A0A0C4DH38,117,0.2348690340575031,0.15053904802065282,<200
A0A0C4DH39,117,0.2592301132430202,0.10735720694256246,<200
A0A0C4DH41,118,0.223374011750778,0.09814850352736791,<200
A0A0C4DH42,116,0.22052330305930126,0.09231003795045156,<200
A0A0C4DH43,119,0.22902064416210152,0.1211426905978615,<200
A0A0C4DH55,119,0.28961425040309624,0.11741926861776285,<200
A0A0C4DH59,114,0.24822676519946527,0.10810977872938404,<200
A0A0C4DH62,17,0.8014238942059606,0.23708360809988827,<200
A0A0C4DH67,115,0.25615695254107973,0.14753725115360602,<200
A0A0C4DH68,120,0.2533031190999857,0.0925920547513712,<200
A0A0C4DH69,117,0.25125709770751065,0.09743646532795443,<200
A0A0C4DH72,117,0.2708343473602516,0.09925368490896608,<200
A0A0C4DH73,117,0.27204761340906575,0.10132548898739634,<200
A0A0C5B5G6,16,0.8083810086375584,0.252990561553864,<200
A0A0D9SF12,145,0.7471086466105501,0.1894450475574866,<200
A0A0G2JMD5,474,0.1708945653076858,0.0970289660473241,200-499
A0A0G2JMI3,117,0.28841626407616144,0.14482579179110866,<200
A0A0G2JS06,123,0.27217486999778406,0.1402866385715975,<200
A0A0J9YVY3,117,0.24020033363791282,0.11646563700241061,<200
A0A0J9YWL9,993,0.74132628123499,0.157185551154828,500-999
A0A0J9YWP8,16,0.742947873076951,0.2485971055774154,<200
A0A0J9YWX3,17,0.883540549274742,0.11591174326482707,<200
A0A0J9YX06,15,0.7944930786279362,0.23619153469160586,<200
A0A0J9YX35,117,0.20829029729163473,0.09484925464765276,<200
A0A0J9YX57,407,0.7792505743328973,0.07089090334638778,200-499
A0A0J9YX75,114,0.2621584618624627,0.09752529338130052,<200
A0A0J9YX94,578,0.7743357859190872,0.05968832962618344,500-999
A0A0J9YXA8,15,0.8333390569275885,0.15270417745479947,<200
A0A0J9YXG5,16,0.8225816263597261,0.19470384921464545,<200
A0A0J9YXM7,16,0.9223586973488309,0.08949626120484121,<200
A0A0J9YXQ4,647,0.7679577231309728,0.07924614295554813,500-999
A0A0J9YXV3,536,0.8784021183006196,0.14480839695215103,500-999
A0A0J9YXX1,117,0.23987352344367657,0.15035711398606094,<200
A0A0J9YXY3,114,0.2818296220632723,0.08881293266095784,<200
A0A0J9YY54,714,0.749303456294671,0.2201406567292567,500-999
A0A0K0K1A3,114,0.2513400606020808,0.11875325572242446,<200
A0A0K0K1A5,114,0.2728618615370508,0.08933615689196166,<200
A0A0K0K1B3,111,0.2421991656506053,0.18534365157026894,<200
A0A0K0K1C0,115,0.2757234560609301,0.11812298005505155,<200
A0A0K0K1C4,114,0.2427690334997937,0.10668772826394357,<200
A0A0K0K1D8,114,0.26870810439672665,0.1251728762211583,<200
A0A0K0K1E9,115,0.3531307319460579,0.16220986458394904,<200
A0A0K0K1G6,114,0.2390246614128226,0.12530051598140926,<200
A0A0K0K1G8,114,0.2130342637884946,0.11656905910809083,<200
A0A0K2S4Q6,201,0.47802674506271803,0.16482977321998013,200-499
A0A0U1RQE8,302,0.14743824328876318,0.08748733139786333,200-499
A0A0U1RQF7,123,0.8280475736901288,0.07956907848100937,<200
A0A0U1RQG5,324,0.9641311295866163,0.026919508572522302,200-499
A0A0U1RQI7,1052,0.7008965643550126,0.16811805532769697,>=1000
A0A0U1RQS6,177,0.8763119623693008,0.09087705462146208,<200
A0A0U1RR11,272,0.6803240701598183,0.09375221647609519,200-499
A0A0U1RR37,186,0.9483828158843756,0.03151303587357049,<200
A0A0U1RRA0,63,0.6771167885831478,0.2298549514252483,<200
A0A0U1RRE5,68,0.9679793132177731,0.043828077459177155,<200
A0A0U1RRI6,272,0.682001856868747,0.07691781779636309,200-499
A0A0U1RRK4,108,0.9759976492022374,0.03462645420070816,<200
A0A0U1RRL7,71,0.9327393586268864,0.08730036682332758,<200
A0A0U1RRN3,59,0.7341194785490142,0.19530888409281766,<200
A0A0X1KG70,313,0.08127266069582828,0.06863619924057937,200-499
A0A183,80,0.9538102287089646,0.04628881295806678,<200
A0A1B0GTB2,48,0.7406118628747652,0.13846084556254773,<200
A0A1B0GTC6,90,0.6524980491580898,0.22129775096803223,<200
A0A1B0GTD5,131,0.7466576253932157,0.13123997042194768,<200
A0A1B0GTH6,734,0.7434708343525048,0.13791941697435542,500-999
A0A1B0GTH9,108,0.4577903433441474,0.21405201582377803,<200
A0A1B0GTI1,187,0.9459374557531096,0.03403865509266317,<200
A0A1B0GTI8,187,0.31895567007967907,0.14161897973806128,<200
A0A1B0GTJ6,334,0.8763696666026904,0.08550164651118154,200-499
A0A1B0GTK4,181,0.6243273959985276,0.1459716219556841,<200
A0A1B0GTK5,79,0.855342875806718,0.10992044360987711,<200
A0A1B0GTL2,189,0.609301325855976,0.1256076305418379,<200
A0A1B0GTQ4,84,0.6698448746465571,0.17102152789176736,<200
A0A1B0GTR0,161,0.550341360683263,0.13723166126409517,<200
A0A1B0GTR3,108,0.9798486883015248,0.025748775649154364,<200
A0A1B0GTR4,108,0.8730035291425017,0.2453289183149803,<200
A0A1B0GTS1,333,0.8408531622930132,0.04670570933989755,200-499
A0A1B0GTU1,805,0.8859228233534198,0.15036237489236298,500-999
A0A1B0GTU2,59,0.7092608232634671,0.18466580843460195,<200
A0A1B0GTW7,788,0.35361033281507465,0.14421329383472942,500-999
A0A1B0GTY4,177,0.6354383977545867,0.16813721593735928,<200
A0A1B0GTZ2,297,0.761582352598973,0.09600187640214039,200-499
A0A1B0GU29,152,0.9035929778130435,0.07294671228870588,<200
A0A1B0GU33,70,0.9009182649278678,0.10163037732915182,<200
A0A1B0GU71,98,0.7189306978022003,0.18226148776245898,<200
A0A1B0GUA5,103,0.836033612798409,0.15781720067178848,<200
A0A1B0GUA6,201,0.9392532143071318,0.047072416178795415,200-499
A0A1B0GUA7,166,0.49274329272537826,0.12034907408040213,<200
A0A1B0GUA9,212,0.9866674770155608,0.015864171607443963,200-499
A0A1B0GUC4,80,0.8695153525366048,0.11795119265458989,<200
A0A1B0GUI7,84,0.6892312073649114,0.19774856862457565,<200
A0A1B0GUJ8,204,0.6744550914547048,0.09644964584999707,200-499
A0A1B0GUQ0,79,0.7786122687899353,0.15016167647270764,<200
A0A1B0GUS0,222,0.9241776817751716,0.04740251027087072,200-499
A0A1B0GUS4,154,0.17509884849926674,0.24752923609091965,<200
A0A1B0GUT2,108,0.8556000237625866,0.1314827957702341,<200
A0A1B0GUU1,675,0.31851845018431996,0.09906578789495067,500-999
A0A1B0GUV1,79,0.9230829399584106,0.05892055005676858,<200
A0A1B0GUV7,120,0.9040667676590722,0.07633858101981322,<200
A0A1B0GUW6,1196,0.8630651735742626,0.14580898604076234,>=1000
A0A1B0GUW7,55,0.5955090456138838,0.22246622662896898,<200
A0A1B0GUX0,176,0.7321455298781588,0.1379106834651613,<200
A0A1B0GUY1,285,0.8541067559087426,0.1890860837983012,200-499
A0A1B0GV03,622,0.7902216365918939,0.09091204706459714,500-999
A0A1B0GV22,79,0.7786122687899353,0.15016167647270764,<200
A0A1B0GV85,526,0.7186040305606023,0.1454783442107805,500-999
A0A1B0GV90,55,0.7547776398430017,0.19350324964087606,<200
A0A1B0GV96,52,0.9653249787648324,0.06264903151572218,<200
A0A1B0GVB3,256,0.8237570725273153,0.1290691858359011,200-499
A0A1B0GVD1,139,0.44129445796028527,0.1599136855671587,<200
A0A1B0GVG4,234,0.6978605916078795,0.17385376565805263,200-499
A0A1B0GVG6,124,0.970604628292312,0.025421071271167547,<200
A0A1B0GVH4,220,0.4235716164511173,0.12138998223776633,200-499
A0A1B0GVH6,325,0.8628569769898593,0.07680747928517517,200-499
A0A1B0GVH7,501,0.6100148400549964,0.14012939719231002,500-999
A0A1B0GVK7,83,0.7512656998176217,0.13301140664299502,<200
A0A1B0GVM5,59,0.9027972813135919,0.07591196006093151,<200
A0A1B0GVM6,126,0.8941898653243445,0.07163346612811952,<200
A0A1B0GVN3,265,0.7870222562268969,0.11133092907070932,200-499
A0A1B0GVQ0,90,0.8084116595157996,0.14451658215741295,<200
A0A1B0GVQ3,168,0.9354962884568675,0.04267770640650273,<200
A0A1B0GVR7,95,0.8195939942648145,0.10255023264900508,<200
A0A1B0GVS7,189,0.8462053725608827,0.12578729883194678,<200
A0A1B0GVT2,93,0.8080759457958443,0.17289220918799683,<200
A0A1B0GVV1,85,0.6379217813565583,0.23252397733660563,<200
A0A1B0GVX0,72,0.3088776433257272,0.226059025778773,<200
A0A1B0GVY4,71,0.8608194174696882,0.09035617135756249,<200
A0A1B0GVZ2,78,0.6862820218717623,0.16271627532877125,<200
A0A1B0GVZ6,204,0.8507230046674429,0.09987291207500347,200-499
A0A1B0GVZ9,203,0.1830477911630344,0.15754641348351967,200-499
A0A1B0GW35,172,0.23943909801919025,0.15818646148582724,<200
A0A1B0GW54,56,0.704808196906154,0.1795031548355328,<200
A0A1B0GW64,132,0.9106014960561015,0.042540799752494966,<200
A0A1B0GWB2,263,0.8929199624386926,0.03943289132139456,200-499
A0A1B0GWG4,90,0.82376646284309,0.16924539275127656,<200
A0A1B0GWH4,333,0.8399511840738568,0.04625783189290936,200-499
A0A1B0GWH6,25,0.30984566732325297,0.3193323959649358,<200
A0A1B0GWI6,518,0.9574251191081152,0.05158236909832908,500-999
A0A1B0GWK0,134,0.4243280853902119,0.2773704904115385,<200
A0A1B0GX31,115,0.3479117670328908,0.16463984907326684,<200
A0A1B0GX49,114,0.2679787132254125,0.1209958394834199,<200
A0A1B0GX51,115,0.27194201676471447,0.0921783103712688,<200
A0A1B0GX56,115,0.24058472608586884,0.14923120252248664,<200
A0A1B0GX68,115,0.2382924582747013,0.1521130960560492,<200
A0A1B0GX78,115,0.23043447995523744,0.11135452077787689,<200
A0A1B0GX95,115,0.3798799423624401,0.17540056863125314,<200
A0A1B0GXF2,115,0.30504137769806194,0.1241601687554484,<200
A0A1W2PP81,198,0.7991677226789257,0.07669036053132887,<200
A0A1W2PP97,115,0.6260247046895108,0.11631182127927486,<200
A0A1W2PPD8,638,0.5740573747653565,0.11522643221593255,500-999
A0A1W2PPE2,198,0.7979261128872975,0.07281783112976731,<200
A0A1W2PPE3,182,0.9338998332183082,0.07498946260369016,<200
A0A1W2PPF3,345,0.8166103079769952,0.03813105203790113,200-499
A0A1W2PPG7,107,0.6723883166688012,0.24346567665991325,<200
A0A1W2PPH5,198,0.8013940095470257,0.0831161004941619,<200
A0A1W2PPK0,400,0.8490365352221205,0.0783895720315331,200-499
A0A1W2PPL8,197,0.7766528829621002,0.07233844142600786,<200
A0A1W2PPM1,405,0.867071524450809,0.07742232244171146,200-499
A0A1W2PPW3,197,0.8004409849857144,0.08206452868297286,<200
A0A1W2PQ09,198,0.79030650843024,0.08926444716978141,<200
A0A1W2PQ27,194,0.12223657676568729,0.118511265254222,<200
A0A1W2PQ64,194,0.1268516525823668,0.12584364052628413,<200
A0A1W2PQ72,361,0.7552380287995542,0.14443582333137098,200-499
A0A1W2PQ73,354,0.81916541415235,0.11224710776729802,200-499
A0A1W2PQC6,194,0.11796142993973904,0.11451351732851409,<200
A0A1W2PQD8,194,0.11890485198766879,0.11235587000949489,<200
A0A1W2PQJ5,194,0.13384265738430215,0.1359889354422993,<200
A0A1W2PQL4,384,0.6392117125551232,0.17710676138544656,200-499
A0A1W2PQU2,76,0.28570187765838245,0.26474435255355205,<200
A0A1W2PR19,241,0.07018930666789712,0.10432802947562068,200-499
A0A1W2PR48,441,0.5713292875690829,0.08229513880184722,200-499
A0A1W2PR64,198,0.7910589517955433,0.06903432887013163,<200
A0A1W2PR75,194,0.12202120951756927,0.11428482193409396,<200
A0A1W2PR82,267,0.9125566161976524,0.06753371766285644,200-499
A0A1W2PR95,340,0.605664638820118,0.14893475405447448,200-499
A0A1W2PRP0,233,0.79688504848659,0.04542040831310241,200-499
A0A1W2PRV1,198,0.7903404237057128,0.06793063045692009,<200
A0A1W2PS18,150,0.7683329660521175,0.08293736334937027,<200
A0A286YEU6,314,0.19033998072582184,0.1509498852031605,200-499
A0A286YEV6,105,0.7836785619526834,0.2525286257565398,<200
A0A286YEX9,105,0.7796552201486037,0.24626080210297652,<200
A0A286YEY9,88,0.7412801435784265,0.2474859643743077,<200
A0A286YF01,96,0.7858638346020663,0.2519332848150352,<200
A0A286YF18,149,0.8948783953666265,0.05976508988307893,<200
A0A286YF46,85,0.7533062080716669,0.24955469050989756,<200
A0A286YF58,385,0.7273490548210478,0.06878788198616242,200-499
A0A286YF60,100,0.7770015867656312,0.2538225515657423,<200
A0A286YF77,105,0.8024495830155398,0.24875971642792913,<200
A0A286YFB4,120,0.7972907853102351,0.25745862164788813,<200
A0A286YFG1,108,0.8018109794384902,0.24851316558032419,<200
A0A286YFK9,51,0.6855976087079856,0.1881553157642139,<200
A0A2R8Y2Y2,192,0.7266512551730234,0.057978022965243084,<200
A0A2R8Y4L2,320,0.7608772563850229,0.0715811960320524,200-499
A0A2R8Y4L6,323,0.10807608036642534,0.07357778189201053,200-499
A0A2R8Y4Y8,160,0.5268297719098183,0.11674565714458104,<200
A0A2R8Y619,122,0.6096684094443336,0.15482863797556728,<200
A0A2R8Y7D0,87,0.3288431013491837,0.2226649378725972,<200
A0A2R8Y7Y5,234,0.9074802452064242,0.09051148711789436,200-499
A0A2R8YCJ5,93,0.8632457204124258,0.08088602822713233,<200
A0A2R8YED5,311,0.09762416325646105,0.08260201715271084,200-499
A0A2R8YFL7,184,0.4253578769281982,0.1644064145389997,<200
A0A2R8YFM6,193,0.5169844599766822,0.1310895511313381,<200
A0A2Z4LIS9,290,0.9359392714555376,0.0809923861013418,200-499
A0A3B3IRV3,181,0.10218982494697504,0.13856082178531653,<200
A0A3B3IS91,260,0.8520968875876493,0.25302820786754265,200-499
A0A3B3IT33,452,0.18338091479333524,0.11760998987244876,200-499
A0A3B3IT45,312,0.07201137342942614,0.07175328835040062,200-499
A0A3B3IT52,213,0.7319417380856829,0.09808333590191791,200-499
A0A3B3IU46,118,0.9428544517893832,0.03739733187143412,<200
A0A3B3IU63,148,0.6948299110740762,0.12489872694327522,<200
A0A3G1DJQ2,38,0.7059047739092577,0.2608530481705488,<200
A0A411D538,79,0.7628754947782811,0.21843325067907202,<200
A0A455ZAR2,87,0.7771752236736192,0.21058421033254296,<200
A0A494BZU4,170,0.27414876111869474,0.2004168368258721,<200
A0A494C071,2061,0.6734662918967995,0.24771081821193494,>=1000
A0A494C086,402,0.7651590068051479,0.06328250382072956,200-499
A0A494C0N9,232,0.8810647319767062,0.05487819311674928,200-499
A0A494C0Y3,232,0.8808543792255911,0.0671058429477673,200-499
A0A494C0Z2,265,0.6482762130469141,0.10538305573495668,200-499
A0A494C103,137,0.39719595696838345,0.1684522291456314,<200
A0A494C191,265,0.6487433546520888,0.10115234770997568,200-499
A0A494C1I1,119,0.9222800638807113,0.036626195469407416,<200
A0A494C1R9,314,0.6586681642456885,0.08002477416483741,200-499
A0A539,114,0.29857704858897344,0.1292871305332685,<200
A0A576,114,0.22895790656056342,0.1005563373455475,<200
A0A577,114,0.2748686573849501,0.09921988766742827,<200
A0A578,114,0.2446650616634421,0.11948852040178581,<200
A0A584,115,0.27959197449461737,0.12738862504201257,<200
A0A589,114,0.2843192503161063,0.11043218996728318,<200
A0A590UK83,68,0.5842187225826444,0.2581505078153824,<200
A0A597,114,0.22899395854871768,0.11337678580434782,<200
A0A599,114,0.2653405708970155,0.18164924496174154,<200
A0A5A2,114,0.23810953104844074,0.13212166300281658,<200
A0A5A6,115,0.2209555022047592,0.10256535364752742,<200
A0A5B0,115,0.26894073879024555,0.11791563396118349,<200
A0A5B6,114,0.20817499413430215,0.11903046943936944,<200
A0A5B7,111,0.1864922576366052,0.10893939403156153,<200
A0A5B9,178,0.3520602650668313,0.09849741533134762,<200
A0A5F9ZH02,70,0.7470026021869609,0.15760227832708054,<200
A0A5F9ZHS7,289,0.8684416631808255,0.13097616079865504,200-499
A0A6I8PU40,153,0.7726174326012047,0.1716792945750713,<200
A0A7I2V3R4,345,0.7992124464929742,0.08197016508648612,200-499
A0A7L8Y648,51,0.9037828022559501,0.08781897480344232,<200
A0A7P0TBJ1,273,0.8290162128408768,0.05894532524341829,200-499
A0A804HLA8,68,0.6561260287552403,0.24467236042225424,<200
A0A8I5KQE6,295,0.5919525061775227,0.12642564819054727,200-499
A0A8I5KY20,255,0.755623074357566,0.09296417663486069,200-499
