dataset,udonpred_id,sequence_length,valid_annotated_residues,match_mode,n_human_matches,human_accessions,human_genes,example_human_header
plddt,DP01259,172,172,sequence,1,P41208,CETN2,sp|P41208|CETN2_HUMAN Centrin-2 OS=Homo sapiens OX=9606 GN=CETN2 PE=1 SV=1
plddt,DP01293,120,120,sequence,1,Q13542,EIF4EBP2,sp|Q13542|4EBP2_HUMAN Eukaryotic translation initiation factor 4E-binding protein 2 OS=Homo sapiens OX=9606 GN=EIF4EBP2 PE=1 SV=1
plddt,DP01309,372,372,sequence,1,P50750,CDK9,sp|P50750|CDK9_HUMAN Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3
plddt,DP01337,151,151,sequence,1,Q96B02,UBE2W,sp|Q96B02|UBE2W_HUMAN Ubiquitin-conjugating enzyme E2 W OS=Homo sapiens OX=9606 GN=UBE2W PE=1 SV=1
plddt,DP01342,334,334,sequence,1,P52564,MAP2K6,sp|P52564|MP2K6_HUMAN Dual specificity mitogen-activated protein kinase kinase 6 OS=Homo sapiens OX=9606 GN=MAP2K6 PE=1 SV=1
plddt,DP01364,216,216,sequence,1,P62826,RAN,sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3
plddt,DP01389,136,136,sequence,1,Q71DI3,H3C15,sp|Q71DI3|H32_HUMAN Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C15 PE=1 SV=3
plddt,DP01400,399,399,sequence,1,P45985,MAP2K4,sp|P45985|MP2K4_HUMAN Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP2K4 PE=1 SV=1
plddt,DP01425,111,111,sequence,1,Q15004,PCLAF,sp|Q15004|PAF15_HUMAN PCNA-associated factor OS=Homo sapiens OX=9606 GN=PCLAF PE=1 SV=1
plddt,DP01458,125,125,sequence,1,Q9Y3B4,SF3B6,sp|Q9Y3B4|SF3B6_HUMAN Splicing factor 3B subunit 6 OS=Homo sapiens OX=9606 GN=SF3B6 PE=1 SV=1
plddt,DP01552,92,92,sequence,1,P33763,S100A5,sp|P33763|S10A5_HUMAN Protein S100-A5 OS=Homo sapiens OX=9606 GN=S100A5 PE=1 SV=2
plddt,DP01560,479,479,sequence,1,Q9UMR2,DDX19B,sp|Q9UMR2|DD19B_HUMAN ATP-dependent RNA helicase DDX19B OS=Homo sapiens OX=9606 GN=DDX19B PE=1 SV=1
plddt,DP01570,536,536,sequence,1,P12931,SRC,sp|P12931|SRC_HUMAN Proto-oncogene tyrosine-protein kinase Src OS=Homo sapiens OX=9606 GN=SRC PE=1 SV=3
plddt,DP01580,509,509,sequence,1,P06239,LCK,sp|P06239|LCK_HUMAN Tyrosine-protein kinase Lck OS=Homo sapiens OX=9606 GN=LCK PE=1 SV=6
plddt,DP01622,339,339,sequence,1,Q06609,RAD51,sp|Q06609|RAD51_HUMAN DNA repair protein RAD51 homolog 1 OS=Homo sapiens OX=9606 GN=RAD51 PE=1 SV=1
plddt,DP01637,146,146,sequence,1,Q8NI22,MCFD2,sp|Q8NI22|MCFD2_HUMAN Multiple coagulation factor deficiency protein 2 OS=Homo sapiens OX=9606 GN=MCFD2 PE=1 SV=1
plddt,DP01738,92,92,sequence,1,P04271,S100B,sp|P04271|S100B_HUMAN Protein S100-B OS=Homo sapiens OX=9606 GN=S100B PE=1 SV=2
plddt,DP01750,108,108,sequence,1,P62877,RBX1,sp|P62877|RBX1_HUMAN E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens OX=9606 GN=RBX1 PE=1 SV=1
plddt,DP01876,109,109,sequence,1,P52926,HMGA2,sp|P52926|HMGA2_HUMAN High mobility group protein HMGI-C OS=Homo sapiens OX=9606 GN=HMGA2 PE=1 SV=1
plddt,DP02013,149,149,sequence,3,P0DP23;P0DP24;P0DP25,CALM1;CALM2;CALM3,sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1
plddt,DP02069,411,411,sequence,1,P38919,EIF4A3,sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4
plddt,DP02100,165,165,sequence,1,P60604,UBE2G2,sp|P60604|UB2G2_HUMAN Ubiquitin-conjugating enzyme E2 G2 OS=Homo sapiens OX=9606 GN=UBE2G2 PE=1 SV=1
plddt,DP02191,193,193,sequence,1,P51965,UBE2E1,sp|P51965|UB2E1_HUMAN Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens OX=9606 GN=UBE2E1 PE=1 SV=1
plddt,DP02294,101,101,sequence,1,P63165,SUMO1,sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1
plddt,DP02301,128,128,sequence,1,Q71UI9,H2AZ2,sp|Q71UI9|H2AV_HUMAN Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3
plddt,DP02302,81,81,sequence,1,Q15843,NEDD8,sp|Q15843|NEDD8_HUMAN Ubiquitin-like protein NEDD8 OS=Homo sapiens OX=9606 GN=NEDD8 PE=1 SV=1
plddt,DP02328,464,464,sequence,1,P53779,MAPK10,sp|P53779|MK10_HUMAN Mitogen-activated protein kinase 10 OS=Homo sapiens OX=9606 GN=MAPK10 PE=1 SV=2
plddt,DP02360,134,134,sequence,1,O14810,CPLX1,sp|O14810|CPLX1_HUMAN Complexin-1 OS=Homo sapiens OX=9606 GN=CPLX1 PE=1 SV=1
plddt,DP02383,526,526,sequence,1,P08631,HCK,sp|P08631|HCK_HUMAN Tyrosine-protein kinase HCK OS=Homo sapiens OX=9606 GN=HCK PE=1 SV=5
plddt,DP02389,344,344,sequence,1,Q96GD4,AURKB,sp|Q96GD4|AURKB_HUMAN Aurora kinase B OS=Homo sapiens OX=9606 GN=AURKB PE=1 SV=3
plddt,DP02414,301,301,sequence,1,P14653,HOXB1,sp|P14653|HXB1_HUMAN Homeobox protein Hox-B1 OS=Homo sapiens OX=9606 GN=HOXB1 PE=1 SV=2
plddt,DP02545,512,512,sequence,1,P07948,LYN,sp|P07948|LYN_HUMAN Tyrosine-protein kinase Lyn OS=Homo sapiens OX=9606 GN=LYN PE=1 SV=3
plddt,DP02652,103,103,sequence,1,Q96FQ6,S100A16,sp|Q96FQ6|S10AG_HUMAN Protein S100-A16 OS=Homo sapiens OX=9606 GN=S100A16 PE=1 SV=1
plddt,DP02665,460,460,sequence,1,Q9Y5C1,ANGPTL3,sp|Q9Y5C1|ANGL3_HUMAN Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1
plddt,DP02714,128,128,sequence,1,O60880,SH2D1A,sp|O60880|SH21A_HUMAN SH2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=SH2D1A PE=1 SV=1
plddt,DP02724,428,428,sequence,1,Q13838,DDX39B,sp|Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1
plddt,DP02727,163,163,sequence,1,Q13526,PIN1,sp|Q13526|PIN1_HUMAN Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens OX=9606 GN=PIN1 PE=1 SV=1
plddt,DP02733,208,208,sequence,1,P20340,RAB6A,sp|P20340|RAB6A_HUMAN Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3
plddt,DP02746,340,340,sequence,1,Q14565,DMC1,sp|Q14565|DMC1_HUMAN Meiotic recombination protein DMC1/LIM15 homolog OS=Homo sapiens OX=9606 GN=DMC1 PE=1 SV=2
plddt,DP02764,271,271,sequence,1,Q13162,PRDX4,sp|Q13162|PRDX4_HUMAN Peroxiredoxin-4 OS=Homo sapiens OX=9606 GN=PRDX4 PE=1 SV=1
plddt,DP02783,494,494,sequence,1,P49189,ALDH9A1,sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3
plddt,DP02815,175,175,sequence,1,P62330,ARF6,sp|P62330|ARF6_HUMAN ADP-ribosylation factor 6 OS=Homo sapiens OX=9606 GN=ARF6 PE=1 SV=2
plddt,DP02856,185,185,sequence,1,P83916,CBX1,sp|P83916|CBX1_HUMAN Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1
plddt,DP02864,185,185,sequence,1,P83916,CBX1,sp|P83916|CBX1_HUMAN Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1
plddt,DP02918,270,270,sequence,1,P17947,SPI1,sp|P17947|SPI1_HUMAN Transcription factor PU.1 OS=Homo sapiens OX=9606 GN=SPI1 PE=1 SV=2
plddt,DP03006,209,209,sequence,1,O95843,GUCA1C,sp|O95843|GUC1C_HUMAN Guanylyl cyclase-activating protein 3 OS=Homo sapiens OX=9606 GN=GUCA1C PE=1 SV=3
plddt,DP03125,403,403,sequence,1,O14965,AURKA,sp|O14965|AURKA_HUMAN Aurora kinase A OS=Homo sapiens OX=9606 GN=AURKA PE=1 SV=3
plddt,DP03162,241,241,sequence,1,O00299,CLIC1,sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4
plddt,DP03163,247,247,sequence,1,O15247,CLIC2,sp|O15247|CLIC2_HUMAN Chloride intracellular channel protein 2 OS=Homo sapiens OX=9606 GN=CLIC2 PE=1 SV=3
plddt,DP03164,253,253,sequence,1,Q9Y696,CLIC4,sp|Q9Y696|CLIC4_HUMAN Chloride intracellular channel protein 4 OS=Homo sapiens OX=9606 GN=CLIC4 PE=1 SV=4
plddt,DP03186,142,142,sequence,1,P28325,CST5,sp|P28325|CYTD_HUMAN Cystatin-D OS=Homo sapiens OX=9606 GN=CST5 PE=1 SV=1
plddt,DP03228,101,101,sequence,1,P26447,S100A4,sp|P26447|S10A4_HUMAN Protein S100-A4 OS=Homo sapiens OX=9606 GN=S100A4 PE=1 SV=1
plddt,DP03229,166,166,sequence,1,P05451,REG1A,sp|P05451|REG1A_HUMAN Lithostathine-1-alpha OS=Homo sapiens OX=9606 GN=REG1A PE=1 SV=3
plddt,DP03250,565,565,sequence,1,Q9UBW5,BIN2,sp|Q9UBW5|BIN2_HUMAN Bridging integrator 2 OS=Homo sapiens OX=9606 GN=BIN2 PE=1 SV=3
plddt,DP03297,146,146,sequence,1,P01034,CST3,sp|P01034|CYTC_HUMAN Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1
plddt,DP03298,192,192,sequence,1,P63000,RAC1,sp|P63000|RAC1_HUMAN Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1
plddt,DP03300,480,480,sequence,1,P31749,AKT1,sp|P31749|AKT1_HUMAN RAC-alpha serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=AKT1 PE=1 SV=2
plddt,DP03314,175,175,sequence,1,Q06141,REG3A,sp|Q06141|REG3A_HUMAN Regenerating islet-derived protein 3-alpha OS=Homo sapiens OX=9606 GN=REG3A PE=1 SV=1
plddt,DP03365,103,103,sequence,1,P27469,G0S2,sp|P27469|G0S2_HUMAN G0/G1 switch protein 2 OS=Homo sapiens OX=9606 GN=G0S2 PE=1 SV=1
plddt,DP03366,367,367,sequence,1,P53778,MAPK12,sp|P53778|MK12_HUMAN Mitogen-activated protein kinase 12 OS=Homo sapiens OX=9606 GN=MAPK12 PE=1 SV=3
plddt,DP03404,112,112,sequence,1,P56211,ARPP19,sp|P56211|ARP19_HUMAN cAMP-regulated phosphoprotein 19 OS=Homo sapiens OX=9606 GN=ARPP19 PE=1 SV=2
plddt,DP03417,89,89,sequence,1,P10997,IAPP,sp|P10997|IAPP_HUMAN Islet amyloid polypeptide OS=Homo sapiens OX=9606 GN=IAPP PE=1 SV=1
plddt,DP03497,379,379,sequence,1,P27361,MAPK3,sp|P27361|MK03_HUMAN Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=4
plddt,DP03532,220,220,sequence,1,Q68J44,DUSP29,sp|Q68J44|DUS29_HUMAN Dual specificity phosphatase 29 OS=Homo sapiens OX=9606 GN=DUSP29 PE=1 SV=1
plddt,DP03654,245,245,sequence,1,P63104,YWHAZ,sp|P63104|1433Z_HUMAN 14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1
plddt,DP03700,158,158,sequence,1,Q9H9R9,DBNDD1,sp|Q9H9R9|DBND1_HUMAN Dysbindin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=DBNDD1 PE=1 SV=2
plddt,DP03704,108,108,sequence,2,A0A1B0GTR3;P0DPH9,CXorf51A;CXorf51B,sp|P0DPH9|CX05B_HUMAN Uncharacterized protein CXorf51B OS=Homo sapiens OX=9606 GN=CXorf51B PE=1 SV=1
plddt,DP03711,147,147,sequence,1,Q9BXW4,MAP1LC3C,sp|Q9BXW4|MLP3C_HUMAN Microtubule-associated protein 1 light chain 3 gamma OS=Homo sapiens OX=9606 GN=MAP1LC3C PE=1 SV=1
plddt,DP03816,396,396,sequence,1,Q99986,VRK1,sp|Q99986|VRK1_HUMAN Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1
plddt,DP03820,483,483,sequence,1,P26196,DDX6,sp|P26196|DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2
