dataset_a,dataset_b,comparison_level,protein_id_a,protein_id_b,sequence_length,n_residues_compared,match_mode,percent_identity,query_coverage,target_coverage,alignment_length
softdis,pdbflex,exact,1br4_B,1br4B,150,150,sequence,,,,
softdis,pdbflex,exact,3alu_A,3aluA,157,157,sequence,,,,
softdis,pdbflex,exact,1zmk_B,1zmhA,29,29,sequence,,,,
softdis,pdbflex,exact,1bj3_B,1j34B,123,123,sequence,,,,
softdis,pdbflex,exact,1bj3_A,1bj3A,129,129,sequence,,,,
softdis,pdbflex,exact,2wfv_A,2wfvA,25,25,sequence,,,,
softdis,pdbflex,exact,1zv8_B,6lvnB,36,36,sequence,,,,
softdis,pdbflex,exact,1bxa_A,2j55A,105,105,sequence,,,,
softdis,pdbflex,exact,4qae_P,4qaeP,25,25,sequence,,,,
softdis,pdbflex,exact,3hzb_A,3hzbD,90,90,sequence,,,,
softdis,pdbflex,exact,1bcp_D,1ptoD,110,110,sequence,,,,
softdis,pdbflex,exact,4fz0_M,4fz0O,40,40,sequence,,,,
softdis,pdbflex,exact,4aoq_D,4aoqE,37,37,sequence,,,,
softdis,pdbflex,exact,1asy_A,1aszA,490,490,sequence,,,,
softdis,pdbflex,exact,2jjs_A,2uv3B,126,126,sequence,,,,
softdis,pdbflex,exact,5xe2_A,5xe2A,107,107,sequence,,,,
softdis,pdbflex,exact,5ntt_A,5nttA,287,287,sequence,,,,
softdis,pdbflex,exact,5m3d_A,5m3tB,101,101,sequence,,,,
softdis,pdbflex,exact,5mgr_A,5mgsH,146,146,sequence,,,,
softdis,pdbflex,exact,2puk_C,2pukC,106,106,sequence,,,,
softdis,pdbflex,exact,1kb2_B,1kb6B,110,110,sequence,,,,
softdis,pdbflex,exact,1eja_B,1c9tG,59,59,sequence,,,,
softdis,pdbflex,exact,5x7v_A,5x7vC,193,193,sequence,,,,
softdis,pdbflex,exact,5u52_E,1oqoC,34,34,sequence,,,,
softdis,pdbflex,exact,5ied_B,5f0eB,88,88,sequence,,,,
softdis,pdbflex,exact,4v0n_A,4v0lA,169,169,sequence,,,,
softdis,pdbflex,exact,5f5u_C,5f5uC,36,36,sequence,,,,
softdis,pdbflex,exact,5vd2_A,5vd4A,289,289,sequence,,,,
softdis,pdbflex,exact,6gqa_A,6gqnA,62,62,sequence,,,,
softdis,pdbflex,exact,6jjj_B,6jjjA,160,160,sequence,,,,
softdis,pdbflex,exact,4ybh_B,4ybhB,92,92,sequence,,,,
softdis,pdbflex,exact,3zpv_1,3zpv1,62,62,sequence,,,,
softdis,pdbflex,exact,6joj_A,5k5xA,356,356,sequence,,,,
softdis,pdbflex,exact,4xq3_A,4xq3F,91,91,sequence,,,,
softdis,pdbflex,exact,4v0u_E,4v0uE,84,84,sequence,,,,
softdis,pdbflex,exact,1r6j_A,1r6jA,82,82,sequence,,,,
softdis,pdbflex,exact,4qeg_A,5jdjA,91,91,sequence,,,,
softdis,pdbflex,exact,2pe8_A,2pehA,105,105,sequence,,,,
softdis,pdbflex,exact,4nxp_A,4nxrA,94,94,sequence,,,,
softdis,pdbflex,exact,1zzi_A,1zziA,82,82,sequence,,,,
softdis,pdbflex,exact,6ryl_C,6rydA,76,76,sequence,,,,
softdis,pdbflex,exact,5x5o_A,6jutA,310,310,sequence,,,,
softdis,pdbflex,exact,4mwi_A,4mwiA,294,294,sequence,,,,
softdis,pdbflex,exact,4m8a_A,4m8aB,72,72,sequence,,,,
softdis,pdbflex,exact,6jb6_A,6jb6A,205,205,sequence,,,,
softdis,pdbflex,exact,4riq_C,4riqC,27,27,sequence,,,,
softdis,pdbflex,exact,5f5t_C,5f5tC,84,84,sequence,,,,
softdis,pdbflex,exact,1th7_K,1th7A,81,81,sequence,,,,
softdis,pdbflex,exact,3isw_A,3iswB,99,99,sequence,,,,
softdis,pdbflex,exact,5mpw_A,5mpwA,115,115,sequence,,,,
softdis,pdbflex,exact,2yhn_A,2yhoE,79,79,sequence,,,,
softdis,pdbflex,exact,6oec_A,6oecL,162,162,sequence,,,,
softdis,pdbflex,exact,6d48_E,6d49A,127,127,sequence,,,,
softdis,pdbflex,exact,3oq9_H,3oq9H,100,100,sequence,,,,
softdis,pdbflex,exact,3utm_A,3utmA,351,351,sequence,,,,
softdis,pdbflex,exact,2f5z_K,2f60K,64,64,sequence,,,,
softdis,pdbflex,exact,6d07_A,6d07A,55,55,sequence,,,,
softdis,pdbflex,exact,4x8w_A,4x8wE,75,75,sequence,,,,
softdis,pdbflex,exact,6qav_D,6qauA,280,280,sequence,,,,
softdis,pdbflex,exact,1f7t_A,1f7tA,122,122,sequence,,,,
softdis,pdbflex,exact,2cyx_A,2cyxA,170,170,sequence,,,,
softdis,pdbflex,exact,5x3p_A,5x3pA,83,83,sequence,,,,
softdis,pdbflex,exact,3trt_A,3trtA,77,77,sequence,,,,
softdis,pdbflex,exact,5un5_D,5un5C,123,123,sequence,,,,
softdis,pdbflex,exact,1zke_A,1zkeD,83,83,sequence,,,,
softdis,pdbflex,exact,5e8v_A,5e92A,316,316,sequence,,,,
softdis,pdbflex,exact,4fi1_A,4fi1A,374,374,sequence,,,,
softdis,pdbflex,exact,4k57_A,4k57A,518,518,sequence,,,,
softdis,pdbflex,exact,2qkv_A,2qkvA,96,96,sequence,,,,
softdis,pdbflex,exact,6j4k_A,6j4kA,60,60,sequence,,,,
softdis,pdbflex,exact,1yn4_A,1yn4A,99,99,sequence,,,,
softdis,pdbflex,exact,5ytk_A,5ytkA,274,274,sequence,,,,
softdis,pdbflex,exact,4d9s_A,4d9sA,406,406,sequence,,,,
softdis,pdbflex,exact,2x5h_A,2x5hD,97,97,sequence,,,,
softdis,pdbflex,exact,3nbn_E,2f8xK,256,256,sequence,,,,
softdis,pdbflex,exact,5u8k_A,5u8kB,231,231,sequence,,,,
softdis,pdbflex,exact,4lmm_A,4n6xA,91,91,sequence,,,,
softdis,pdbflex,exact,3pm9_A,3pm9A,476,476,sequence,,,,
softdis,pdbflex,exact,6o8q_A,6o8qB,91,91,sequence,,,,
softdis,pdbflex,exact,2iug_A,2iuhA,120,120,sequence,,,,
softdis,pdbflex,exact,3qby_A,3qbyA,94,94,sequence,,,,
softdis,pdbflex,exact,4qey_A,4qeyA,132,132,sequence,,,,
softdis,pdbflex,exact,4lw9_Q,4lw9A,120,120,sequence,,,,
softdis,pdbflex,exact,4cc4_B,4cc4B,68,68,sequence,,,,
softdis,pdbflex,exact,6ovf_A,6ovfA,161,161,sequence,,,,
softdis,pdbflex,exact,5ydk_A,5ydkF,87,87,sequence,,,,
softdis,pdbflex,exact,4hwc_A,4hwcB,89,89,sequence,,,,
softdis,pdbflex,exact,5jxc_B,5jxcA,92,92,sequence,,,,
softdis,pdbflex,exact,3m4p_A,3m4qB,456,456,sequence,,,,
softdis,pdbflex,exact,3lg6_A,3lg6A,235,235,sequence,,,,
softdis,pdbflex,exact,4lhx_C,4lhzE,78,78,sequence,,,,
softdis,pdbflex,exact,2wx4_A,2wx4D,46,46,sequence,,,,
softdis,pdbflex,exact,5whf_C,5whfC,90,90,sequence,,,,
softdis,pdbflex,exact,5v6h_A,5v6hE,79,79,sequence,,,,
softdis,pdbflex,exact,6fia_A,6fiaD,104,104,sequence,,,,
softdis,pdbflex,exact,1xw3_A,1xw3A,110,110,sequence,,,,
softdis,pdbflex,exact,7ciz_C,5bnvF,70,70,sequence,,,,
softdis,pdbflex,exact,6box_A,6bp4B,303,303,sequence,,,,
softdis,pdbflex,exact,6ml2_A,6ml4A,151,151,sequence,,,,
softdis,pdbflex,exact,4cym_D,4cz2D,203,203,sequence,,,,
softdis,pdbflex,exact,3iqc_A,3iqcA,131,131,sequence,,,,
softdis,pdbflex,exact,4b6d_A,4b6dA,61,61,sequence,,,,
softdis,pdbflex,exact,4wci_A,4wciC,65,65,sequence,,,,
softdis,pdbflex,exact,3rl0_Q,3rl0M,37,37,sequence,,,,
softdis,pdbflex,exact,5aqf_D,5aquB,118,118,sequence,,,,
softdis,pdbflex,exact,6hc2_B,6hc2B,71,71,sequence,,,,
softdis,pdbflex,exact,5xka_A,5xkaA,288,288,sequence,,,,
softdis,pdbflex,exact,4z88_G,4z88D,73,73,sequence,,,,
softdis,pdbflex,exact,3aae_Y,3aaeX,37,37,sequence,,,,
softdis,pdbflex,exact,7sn6_A,4fxwA,106,106,sequence,,,,
softdis,pdbflex,exact,3uvt_A,3uvtC,111,111,sequence,,,,
softdis,pdbflex,exact,6cps_A,6cpsA,131,131,sequence,,,,
softdis,pdbflex,exact,5jhc_f,5jhcA,24,24,sequence,,,,
softdis,pdbflex,exact,3vux_E,3vuxG,35,35,sequence,,,,
softdis,pdbflex,exact,4r3v_A,4r3vA,183,183,sequence,,,,
softdis,pdbflex,exact,4y85_C,5iu2B,332,332,sequence,,,,
softdis,pdbflex,exact,4yxa_B,4yx1A,70,70,sequence,,,,
softdis,pdbflex,exact,1yn8_A,1yn8A,59,59,sequence,,,,
softdis,pdbflex,exact,3hup_A,3hupA,130,130,sequence,,,,
softdis,pdbflex,exact,4yyi_A,4yyhB,108,108,sequence,,,,
softdis,pdbflex,exact,3t6r_A,3t6rA,72,72,sequence,,,,
softdis,pdbflex,exact,6huf_K,6hufA,182,182,sequence,,,,
softdis,pdbflex,exact,2ho2_A,2oeiA,38,38,sequence,,,,
softdis,pdbflex,exact,3ulj_A,3uljB,90,90,sequence,,,,
softdis,pdbflex,exact,5ei9_F,5ei9E,144,144,sequence,,,,
softdis,pdbflex,exact,2fpe_G,2fpeA,62,62,sequence,,,,
softdis,pdbflex,exact,4tsf_I,2v7qJ,66,66,sequence,,,,
softdis,pdbflex,exact,6msq_A,6msqB,76,76,sequence,,,,
softdis,pdbflex,exact,3a7o_A,3a7oE,75,75,sequence,,,,
softdis,pdbflex,exact,5yts_A,6a6lA,83,83,sequence,,,,
softdis,pdbflex,exact,3wsr_A,3wwkC,128,128,sequence,,,,
softdis,pdbflex,exact,6c0t_A,6bg2A,347,347,sequence,,,,
softdis,pdbflex,exact,6msv_F,6msvD,92,92,sequence,,,,
softdis,pdbflex,exact,3woc_A,3wocA,151,151,sequence,,,,
softdis,pdbflex,exact,3qdo_A,3qdoA,109,109,sequence,,,,
softdis,pdbflex,exact,1ici_A,1iciA,256,256,sequence,,,,
softdis,pdbflex,exact,3zqm_G,3zqnI,72,72,sequence,,,,
softdis,pdbflex,exact,4d3p_A,4d3pA,147,147,sequence,,,,
softdis,pdbflex,exact,6bug_A,6buhA,82,82,sequence,,,,
softdis,pdbflex,exact,4q2n_A,4q2nB,103,103,sequence,,,,
softdis,pdbflex,exact,4pyu_A,4pyuA,76,76,sequence,,,,
softdis,pdbflex,exact,4eqm_A,4eqmA,294,294,sequence,,,,
softdis,pdbflex,exact,4w4m_A,4w4mH,78,78,sequence,,,,
softdis,pdbflex,exact,3fz2_A,3fz2E,134,134,sequence,,,,
softdis,pdbflex,exact,2bay_A,2bayE,61,61,sequence,,,,
softdis,pdbflex,exact,4lk9_A,4lk9A,136,136,sequence,,,,
softdis,pdbflex,exact,5t2q_A,5t2rA,108,108,sequence,,,,
softdis,pdbflex,exact,4k2e_A,4ooiB,112,112,sequence,,,,
softdis,pdbflex,exact,2vkj_A,2vkjA,106,106,sequence,,,,
softdis,pdbflex,exact,5np5_A,5np3D,61,61,sequence,,,,
softdis,pdbflex,exact,5i44_B,5i44B,69,69,sequence,,,,
softdis,pdbflex,exact,1gcp_A,1gcqC,70,70,sequence,,,,
softdis,pdbflex,exact,1nkn_A,3basB,89,89,sequence,,,,
softdis,pdbflex,exact,1oms_C,1omsC,121,121,sequence,,,,
softdis,pdbflex,exact,4gdo_A,4gdoA,43,43,sequence,,,,
softdis,pdbflex,exact,5dft_A,5dftA,101,101,sequence,,,,
softdis,pdbflex,exact,5csf_A,5csnA,95,95,sequence,,,,
softdis,pdbflex,exact,3wgd_A,3wgdC,113,113,sequence,,,,
softdis,pdbflex,exact,3r84_B,3r84V,92,92,sequence,,,,
softdis,pdbflex,exact,6br7_A,6br7B,133,133,sequence,,,,
softdis,pdbflex,exact,2y20_A,2y20C,58,58,sequence,,,,
softdis,pdbflex,exact,6ama_A,6amaY,71,71,sequence,,,,
softdis,pdbflex,exact,5l1o_A,5l1qA,401,401,sequence,,,,
softdis,pdbflex,exact,4i3w_C,4i3xA,488,488,sequence,,,,
softdis,pdbflex,exact,4zz7_E,4zz7A,501,501,sequence,,,,
softdis,pdbflex,exact,3soh_B,3sohB,80,80,sequence,,,,
softdis,pdbflex,exact,4bl6_A,4bl6C,94,94,sequence,,,,
softdis,pdbflex,exact,3nit_A,3nitA,90,90,sequence,,,,
softdis,pdbflex,exact,3rtl_A,3rtlB,121,121,sequence,,,,
softdis,pdbflex,exact,6kc4_A,6kc4A,102,102,sequence,,,,
softdis,pdbflex,exact,4y5o_A,4fqnA,98,98,sequence,,,,
softdis,pdbflex,exact,4j4a_A,4j4aA,27,27,sequence,,,,
softdis,pdbflex,exact,6n6s_B,6n6sD,72,72,sequence,,,,
softdis,pdbflex,exact,6f63_A,6f63A,98,98,sequence,,,,
softdis,pdbflex,exact,1zdn_A,1zdnA,158,158,sequence,,,,
softdis,pdbflex,exact,1yh2_A,1yh2A,169,169,sequence,,,,
softdis,pdbflex,exact,6n3f_C,6n3dA,96,96,sequence,,,,
softdis,pdbflex,exact,4d2h_A,4d2hA,38,38,sequence,,,,
softdis,pdbflex,exact,6aso_F,5vsuF,88,88,sequence,,,,
softdis,pdbflex,exact,6gfq_C,6gfoE,77,77,sequence,,,,
softdis,pdbflex,exact,2von_A,2vodB,193,193,sequence,,,,
softdis,pdbflex,exact,3mq1_D,3mq1A,103,103,sequence,,,,
softdis,pdbflex,exact,2qms_A,4wwqB,120,120,sequence,,,,
softdis,pdbflex,exact,5dc4_A,3uyoA,123,123,sequence,,,,
softdis,pdbflex,exact,6aup_A,6aupA,38,38,sequence,,,,
softdis,pdbflex,exact,4n9g_C,4jlrC,123,123,sequence,,,,
softdis,pdbflex,exact,4r4l_A,4r4lC,49,49,sequence,,,,
softdis,pdbflex,exact,2cxk_A,2cxkA,95,95,sequence,,,,
softdis,pdbflex,exact,2ek1_F,2ek1A,95,95,sequence,,,,
softdis,pdbflex,exact,1wmg_A,1wmgA,103,103,sequence,,,,
softdis,pdbflex,exact,2o94_A,2o94A,112,112,sequence,,,,
softdis,pdbflex,exact,4pav_A,4pavB,145,145,sequence,,,,
softdis,pdbflex,exact,3iv1_C,3iv1A,78,78,sequence,,,,
softdis,pdbflex,exact,2wwk_T,2wwmD,102,102,sequence,,,,
softdis,pdbflex,exact,4f2j_C,3uk3D,57,57,sequence,,,,
softdis,pdbflex,exact,6pxb_F,6pxcA,109,109,sequence,,,,
softdis,pdbflex,exact,2rkl_A,2rklA,53,53,sequence,,,,
softdis,pdbflex,exact,5fm8_A,5fm4B,112,112,sequence,,,,
softdis,pdbflex,exact,3d1m_C,3n1fD,102,102,sequence,,,,
softdis,pdbflex,exact,5z9j_D,5z9jC,398,398,sequence,,,,
softdis,pdbflex,exact,6dm9_B,6dm9B,78,78,sequence,,,,
softdis,pdbflex,exact,2pmu_A,2pmuB,110,110,sequence,,,,
softdis,pdbflex,exact,3r0j_A,5ed4E,250,250,sequence,,,,
softdis,pdbflex,exact,4j45_A,4j48A,86,86,sequence,,,,
softdis,pdbflex,exact,1gto_A,1gtoA,62,62,sequence,,,,
softdis,pdbflex,exact,2vi6_F,2vi6A,62,62,sequence,,,,
softdis,pdbflex,exact,3u7u_K,3u7uH,55,55,sequence,,,,
softdis,pdbflex,exact,3dvx_A,3dvxA,196,196,sequence,,,,
softdis,pdbflex,exact,4ylz_A,4ym1C,153,153,sequence,,,,
softdis,pdbflex,exact,3oei_C,3oeiC,96,96,sequence,,,,
softdis,pdbflex,exact,3otw_F,3otwA,163,163,sequence,,,,
softdis,pdbflex,exact,3vz2_A,3vz2B,470,470,sequence,,,,
softdis,pdbflex,exact,5umw_A,5umwA,151,151,sequence,,,,
softdis,pdbflex,exact,1nn4_B,1nn4A,162,162,sequence,,,,
softdis,pdbflex,exact,2x64_A,2x64B,207,207,sequence,,,,
softdis,pdbflex,exact,5eyo_A,5eyoC,88,88,sequence,,,,
softdis,pdbflex,exact,3qo2_A,3qo2A,64,64,sequence,,,,
softdis,pdbflex,exact,6o8o_A,6o8oB,111,111,sequence,,,,
softdis,pdbflex,exact,5t01_A,5t01A,64,64,sequence,,,,
softdis,pdbflex,exact,3vke_A,3vkeA,76,76,sequence,,,,
softdis,pdbflex,exact,6od3_A,6od5A,62,62,sequence,,,,
softdis,pdbflex,exact,3eu9_C,3eu9A,240,240,sequence,,,,
softdis,pdbflex,exact,1bu1_A,1bu1A,57,57,sequence,,,,
softdis,pdbflex,exact,3p3z_A,3p3oA,416,416,sequence,,,,
softdis,pdbflex,exact,1n5z_A,1jqqB,92,92,sequence,,,,
softdis,pdbflex,exact,3byb_B,3bybA,59,59,sequence,,,,
softdis,pdbflex,exact,2ybr_C,2ybrI,66,66,sequence,,,,
softdis,pdbflex,exact,5zi6_A,5zi6A,55,55,sequence,,,,
softdis,pdbflex,exact,4kg3_A,4kg3B,146,146,sequence,,,,
softdis,pdbflex,exact,1i07_A,1aojA,60,60,sequence,,,,
softdis,pdbflex,exact,5x5l_A,5x5lE,109,109,sequence,,,,
softdis,pdbflex,exact,2er8_A,2er8A,72,72,sequence,,,,
softdis,pdbflex,exact,3tp1_A,3tpwA,152,152,sequence,,,,
softdis,pdbflex,exact,3szs_A,3szsB,46,46,sequence,,,,
softdis,pdbflex,exact,5cer_B,5cerB,193,193,sequence,,,,
softdis,pdbflex,exact,5fgs_A,5fgsC,136,136,sequence,,,,
softdis,pdbflex,exact,2bwe_S,2bwfA,77,77,sequence,,,,
softdis,pdbflex,exact,3cjh_B,3cjhB,64,64,sequence,,,,
softdis,pdbflex,exact,2pys_A,2pysB,109,109,sequence,,,,
softdis,pdbflex,exact,5wb2_B,5wb2B,76,76,sequence,,,,
softdis,pdbflex,exact,1jr8_A,1jraA,117,117,sequence,,,,
softdis,pdbflex,exact,6jnl_A,6jnmA,101,101,sequence,,,,
softdis,pdbflex,exact,3kjn_B,3kjnB,95,95,sequence,,,,
softdis,pdbflex,exact,2vm2_A,2vm1C,118,118,sequence,,,,
softdis,pdbflex,exact,3ulg_B,2nxqA,134,134,sequence,,,,
softdis,pdbflex,exact,5xop_A,5xopA,66,66,sequence,,,,
softdis,pdbflex,exact,5a4w_C,5a4wA,212,212,sequence,,,,
softdis,pdbflex,exact,4pj1_O,4pj1Z,114,114,sequence,,,,
softdis,pdbflex,exact,4hjm_A,4n11A,111,111,sequence,,,,
softdis,pdbflex,exact,4ywe_A,4yweA,487,487,sequence,,,,
softdis,pdbflex,exact,3js5_A,3idoA,178,178,sequence,,,,
softdis,pdbflex,exact,2bet_A,2betC,172,172,sequence,,,,
softdis,pdbflex,exact,6lkp_A,6lkpC,184,184,sequence,,,,
softdis,pdbflex,exact,1w2i_A,1v3zA,91,91,sequence,,,,
softdis,pdbflex,exact,2bnz_D,2bnwB,53,53,sequence,,,,
softdis,pdbflex,exact,5ytq_C,5ytqA,77,77,sequence,,,,
softdis,pdbflex,exact,3mi9_A,3mi9A,351,351,sequence,,,,
softdis,pdbflex,exact,3dls_A,3dlsA,335,335,sequence,,,,
softdis,pdbflex,exact,4ijx_A,4ijxA,155,155,sequence,,,,
softdis,pdbflex,exact,5nld_A,5nldB,139,139,sequence,,,,
softdis,pdbflex,exact,5mg1_A,4q0jA,524,524,sequence,,,,
softdis,pdbflex,exact,1owf_A,1owgA,99,99,sequence,,,,
softdis,pdbflex,exact,6bpg_D,6bpgA,490,490,sequence,,,,
softdis,pdbflex,exact,4ji2_N,4ji0N,61,61,sequence,,,,
softdis,pdbflex,exact,3nsi_A,3nsiB,101,101,sequence,,,,
softdis,pdbflex,exact,6er7_A,6exrA,120,120,sequence,,,,
softdis,pdbflex,exact,2zbc_A,2zbcA,83,83,sequence,,,,
softdis,pdbflex,exact,2z3t_A,3a1lA,425,425,sequence,,,,
softdis,pdbflex,exact,5y5k_B,5y5fA,403,403,sequence,,,,
softdis,pdbflex,exact,2zi0_A,2zi0A,75,75,sequence,,,,
softdis,pdbflex,exact,2h3r_A,2oa5B,110,110,sequence,,,,
softdis,pdbflex,exact,4d6x_A,4d6yA,148,148,sequence,,,,
softdis,pdbflex,exact,6g1z_A,6g1zB,509,509,sequence,,,,
softdis,pdbflex,exact,5jvh_L,1nkwM,114,114,sequence,,,,
softdis,pdbflex,exact,2zug_A,2zugA,90,90,sequence,,,,
softdis,pdbflex,exact,5lsb_B,5lslE,84,84,sequence,,,,
softdis,pdbflex,exact,5xfi_A,5xfiA,153,153,sequence,,,,
softdis,pdbflex,exact,4eb5_A,4eb5A,382,382,sequence,,,,
softdis,pdbflex,exact,4fxe_D,4fxhB,95,95,sequence,,,,
softdis,pdbflex,exact,4ywu_A,4ohtA,465,465,sequence,,,,
softdis,pdbflex,exact,5xjr_E,3pgwH,92,92,sequence,,,,
softdis,pdbflex,exact,5duw_C,5duuB,155,155,sequence,,,,
softdis,pdbflex,exact,2yhf_A,2yhfA,118,118,sequence,,,,
softdis,pdbflex,exact,5ylg_A,4pxvC,49,49,sequence,,,,
softdis,pdbflex,exact,2zqk_M,2zqkM,77,77,sequence,,,,
softdis,pdbflex,exact,1d4t_A,1d4tA,104,104,sequence,,,,
softdis,pdbflex,exact,6cfx_A,6cfxD,80,80,sequence,,,,
softdis,pdbflex,exact,6f8a_A,6f8aA,400,400,sequence,,,,
softdis,pdbflex,exact,5lnl_A,5lnlC,151,151,sequence,,,,
softdis,pdbflex,exact,1jlv_A,1jlvA,209,209,sequence,,,,
softdis,pdbflex,exact,5vyg_B,5vygB,50,50,sequence,,,,
softdis,pdbflex,exact,3ia0_Z,3ia0A,119,119,sequence,,,,
softdis,pdbflex,exact,1kql_A,1kqlA,56,56,sequence,,,,
softdis,pdbflex,exact,3hvz_A,3hvzA,78,78,sequence,,,,
softdis,pdbflex,exact,1fbm_A,1vdfA,46,46,sequence,,,,
softdis,pdbflex,exact,3pmk_N,3pmkN,68,68,sequence,,,,
softdis,pdbflex,exact,3udb_A,3udbD,317,317,sequence,,,,
softdis,pdbflex,exact,3ox5_A,3ox5A,153,153,sequence,,,,
softdis,pdbflex,exact,3q5y_A,3q5yA,240,240,sequence,,,,
softdis,pdbflex,exact,5izd_A,5izdA,508,508,sequence,,,,
softdis,pdbflex,exact,3a9x_A,3a9zA,432,432,sequence,,,,
softdis,pdbflex,exact,6rfk_E,6rfkE,62,62,sequence,,,,
softdis,pdbflex,exact,5mnj_D,5mnjH,64,64,sequence,,,,
softdis,pdbflex,exact,1s7g_D,1s7gA,253,253,sequence,,,,
softdis,pdbflex,exact,4pw9_B,4pwaD,106,106,sequence,,,,
softdis,pdbflex,exact,4zk7_M,4zk7Q,111,111,sequence,,,,
softdis,pdbflex,exact,2pei_A,2peiD,109,109,sequence,,,,
softdis,pdbflex,exact,2dwz_A,2dvwA,231,231,sequence,,,,
softdis,pdbflex,exact,5wni_A,5wnjA,342,342,sequence,,,,
softdis,pdbflex,exact,4omy_A,4omzC,118,118,sequence,,,,
softdis,pdbflex,exact,4nat_B,4nauB,160,160,sequence,,,,
